key;Author;Title;Year;Abstract;Keywords;Author_Keywords
6J8AMAN8;"Álvarez Ariza, Jonathan; Hernández Hernández, Carola";Investigating the Impact of Education 4.0 and Digital Learning on Students' Learning Outcomes in Engineering: A Four-Year Multiple-Case Study.;2026;"Education 4.0 and digital learning have led to a technology-driven transformation in educational methodologies and the roles of teachers, primarily at Higher Education Institutions (HEIs). From an educational standpoint, the extant literature on Education 4.0 highlights its technological features and benefits; however, there is a lack of studies that assess its impact on students’ learning outcomes. Seemingly, Education 4.0 features are taken for granted, as if the technology in itself were enough to guarantee students’ learning, self-efficacy, and engagement. Seeking to address this lack, this study describes the implications of tailoring Education 4.0 tenets and digital learning in an engineering curriculum. Four case studies conducted in the last four years with 119 students are presented, in which technologies such as digital twins, a Modular Production System (MPS), low-cost robotics, 3D printing, generative AI, machine learning, and mobile learning were integrated. With these case studies, an educational methodology with active learning, hands-on activities, and continuous teacher support was designed and deployed to foster cognitive and affective learning outcomes. A mixed-methods study was conducted, utilizing students’ grades, surveys, and semi-structured interviews to assess the approach’s impact. The outcomes suggest that including Education 4.0 tenets and digital learning can enhance discipline-based skills, creativity, self-efficacy, collaboration, and self-directed learning. These results were obtained not only via the technological features but also through the incorporation of reflective teaching that provided several educational resources and oriented the methodology for students’ learning and engagement. The results of this study can help complement the concept of Education 4.0, helping to find a student-centered approach and conceiving a balance between technology, teaching practices, and cognitive and affective learning outcomes. © 2026 by the authors.";"Active learning; digital learning; Digital technology; Education 4.0; Education 5.0; Educational outcomes; Educational technology; engineering education; Industry 4.0; Self-efficacy; Student engagement";
EA8ZWUTY;"Baranov, V.N.; Bezrukikh, A.I.; Konstantinov, I.L.; Rudnitsky, E.A.; Solopeko, N.S.; Baykovskiy, Y.V.";Digital Twin Application in Teaching Students Majoring in Metallurgical Engineering;2022;The article addresses the crucial issues of training engineering personnel with the use of digital twins. In particular, application of digital twins is highly relevant when it comes to training of metallurgical engineering students. At present, teaching of students majoring in metallurgy involving the use of casting aluminum alloys physical models has a number of restrictions such as a high cost of expandable material, safety regulations, the need to provide special access. In this context, the purpose of this article is to identify the advantages and disadvantages of the digital twin of modern technology for casting aluminum alloys for application in the educational process. The digital twin created at the Siberian Federal University is a digital analogue of modern industrial complexes used at metallurgical enterprises. The methodological support and a script provided testing of the digital twin on the master's students studying in the educational program 22.04.02.07 “Theory and technology of foundry production of non-ferrous metals and alloys”, direction of training 22.04.02 Metallurgy. The educational functionality of the model consists in passing the scenarios in the training and examination modes, which enables to test theoretical knowledge, gain skills and consolidate the skills of students. The training mode includes the necessary sequence of actions for passing one of the scenarios. The exam mode monitors user's actions with saving his history, on the basis of which a report with the final grade is formed. It is planned that as a result of using the digital twin of the semicontinuous casting of aluminum alloys in the educational process, graduates will develop general professional, professional mandatory and professional competencies. © 2022 Moscow Polytechnic University. All rights reserved.;"digital educational environment; digital twin; engineering education; metallurgical disciplines; metallurgical engineering; professional competencies; virtual model";
CCRR3WV2;"Barletta, V.S.; Caivano, D.; Catalano, C.; Gentile, A.; Posa, D.P.; Piccinno, A.";Cyber Digital Twin to improve Security Education: the RedTeam Knife approach;2025;Digital Twins (DTs) are emerging as powerful tools in cybersecurity, enabling real-time monitoring, analysis, and simulation of cyber-physical environments. By replicating IT (Information Technology), OT (Operational Technology), and IoT (Internet of Things) infrastructures, DTs enhance cyber-attack detection, incident response, and security resilience. This research explores how DTs, integrated with penetration testing tools, improve cybersecurity education by providing a structured framework for understanding cyber threats. The study introduces the Red Team Knife (RTK), a penetration testing toolset designed to support cybersecurity training and security operations. RTK aligns with the Cyber Kill Chain model to guide students through reconnaissance, exploitation, and response strategies. By leveraging DTs, RTK enhances cyber threat intelligence, facilitates real-world attack simulations, and bridges the gap between cybersecurity training and business demand. This approach is currently being tested within academic programs to improve students' cybersecurity competencies, offering hands-on experience in vulnerability assessment and security operations. The findings highlight the potential of DTs in transforming cybersecurity education, making training more adaptive and aligned with industry needs. © 2025 Copyright held by the owner/author(s).;"Computer crime; Cybe human interaction; Cybe social security; Cyber Human Interaction; Cyber Physical System; Cyber security; Cyber Social Security; Cyber threats; Cyber-security educations; Cybersecurity; Digital Twins; E-learning; Education computing; Education.; Engineering education; Human computer interaction; Human engineering; Humaninteraction; Internet of things; Network security; Red team; Red Team; Security operations; Social Security; Students";
6XH9DD3P;"Boltsi, Angeliki; Kosmanos, Dimitrios; Xenakis, Apostolos; Chatzimisios, Periklis; Chaikalis, Costas";Towards a Novel Digital Twin Framework Proposal Within the Engineering Design Process for Future Engineers: An IoT Smart Building Use Case.;2025;The continuous evolution of Internet of Things (IoT) technologies presents significant opportunities and challenges within the domain of engineering education. This paper introduces a novel and comprehensive framework that extends the established Engineering Design Process (EDP) by incorporating a modular Digital Twin (DT) structure specifically tailored to smart building IoT applications in education. Unlike previous approaches, our framework enables real-time system feedback, simulation-based design iteration, and hands-on experimentation—all integrated within a pedagogical flow aligned with engineering curricula. It comprises seven distinct phases, providing a complete methodology that guides learners from fundamental concepts to advanced applications, including data visualization, real-time simulation, and system optimization. To demonstrate the applicability of the proposed framework, we design and experiment with a practical use case related to a meteorological station and data, which incorporate IoT-enabled sensors, actuators, and microcontrollers for real-time monitoring of environmental parameters and energy consumption within a smart building campus facility. Additionally, to support EDP extension, a hybrid pedagogical approach is introduced, which combines traditional engineering hands-on education methodologies with DT activities, to further foster experimental learning, iterative system design, and complex systems thinking development. To this end, our approach aims to bridge the gap between theoretical science and engineering knowledge, along with practical application use cases, contributing to a better preparation of future engineers capable of addressing interdisciplinary challenges associated with smart systems and digital transformation within the Industry 4.0 era. © 2025 by the authors.;"Administration of Education Programs; All Other Miscellaneous Schools and Instruction; Application in education; article; building; Curricula; data visualization; Design for manufacturability; Design for testability; digital transformation; Digital twin; Digital Twin (DT); drug development; Education methodology; Educational Support Services; energy consumption; engineering; Engineering design; Engineering design process; Engineering Design Process (EDP); engineering education; Engineering Services; environmental parameters; human; Integrated circuit design; Intelligent buildings; internet of things; Internet of things technologies; IoT; Model structures; Modulars; Real - Time system; sensor; sensors and actuators; simulation; smart device; Smart System; smart systems; systems thinking; Teaching; Twin structure; User centered design";
3PCKDEQL;"Bonavolonta, Francesco; Verde, Maria Teresa; Schiano Lo Moriello, Rosario; Liccardo, Annalisa";Sustainability comparison between a traditional electronics measurement laboratory and an immersive metaverse laboratory: An extended life cycle assessment analysis;2026;University laboratories are essential for engineering education but often require significant resources in terms of energy, equipment, and space. This paper presents a comparative Life Cycle Assessment of two models: a traditional measurement laboratory with 20 physical workstations and an immersive digital twin-based laboratory (IM-MetaLAB) supported by one high-performance workstation and 20 virtual reality headsets. The study extends the Life Cycle Assessment framework to the triple bottom line, jointly addressing environmental, economic, and social dimensions. Results highlight substantial advantages of the immersive model. Energy demand decreases from 18,000 to 7,000 kW h/year, with associated emissions reduced by more than 60 %. Over a seven-year horizon, electronic waste is reduced from 500–600 kg to about 200 kg. Economically, capital expenditures drop from approximately 100,000 € to 25,000 €, while annual operating costs fall from 17,000 € to 5,000 €, yielding a per-student exercise cost four times lower. Socially, immersive access enables remote 24/7 participation, improves completion rates (70 % vs 56 %) and average grades (27.4/30 vs. 25/30), and eliminates commuting emissions (≈ 24 tCO2/year for 40 students). The immersive laboratory thus proves to be a sustainable, cost-effective, and pedagogically effective alternative to the traditional activities, showing how digital twin and virtual reality technologies can support both innovation in teaching and institutional sustainability goals. This is an open-access article distributed under the terms of the Creative Commons Attribution 4.0 International License.;"digital twin; life cycle assessment (LCA); sustainability in higher education; triple bottom line (TBL); virtual reality in education";
8HY5G5V9;"Chen, S.; Chen, Y.";Research on the virtual simulation system of intelligent manufacturing production line teaching based on digital twin;2025;With the continuous improvement of science and technology and education level, new technology and new directions are gradually integrated into the course teaching practice. The teaching virtual simulation system of the wheel hub intelligent manufacturing production line studied in this project, combined with the existing production line conditions of the school and the cooperative enterprises, used NX MCD to build the production line simulation model and signal mapping, and successfully built the virtual prototype. PLC control program and HMI design were completed in TIA process, and data exchange between virtual prototype and hardware PLC was realized through OPC UA communication, so as to realize virtual and real collaborative operation. The experimental results show that the virtual model is completely consistent with the hardware device, and can be synchronized in real time. Through the introduction of digital twin virtual simulation technology, this project provides significant support and positive results for the teaching of intelligent manufacturing production line technology course. © 2025 Copyright held by the owner/author(s).;"Condition; Continuous improvements; Course teachings; Curricula; digital twin; Digital twin; E-learning; Electronic data interchange; Engineering education; Industrial research; Intelligent Manufacturing; production line; Production line; Science and Technology; Smart manufacturing; Teaching; Teaching practices; Technology and educations; Virtual prototyping; Virtual reality; virtual simulation system; Virtual simulation system; Wheel hubs";
95CLH3FL;"Cortes, D.; Ramirez, J.; Villagomez, L.; Batres, R.; Vasquez-Lopez, V.; Molina, A.";Digital Pyramid: An approach to relate industrial automation and digital twin concepts;2020;The so-called fourth industrial revolution has brought different technologies to aid in the launching of new products, automation of manufacturing process and designing of intelligent manufacturing systems to monitor and control activities inside the factories. One recurrent challenge of the industrial sector is to evaluate multiple scenarios to make decisions at different levels of the business model. Innovative technologies and tools are used to provide solutions to existing gaps in current manufacturing systems. The evaluation of scenarios is used to manage risks, costs, prepare for upcoming work and forecast demand. Thus, the use of Digital Twin (DT) has proven its value covering the simulation and creation of virtual environments without the physical investment needed. With emergent technologies comes to a great responsibility for institutes to prepare undergraduate students in the development of novel skills, thus, technologies should be adapted and included into the teaching-learning process to aid the adoption from educational to the industrial sector. In this work, it is shown how the adoption of DT has been used to teach industrial concepts such as the automation pyramid, the programming of programmable logic controllers PLC and the exchange of information through industrial networks along with the concepts that constitute digital twins, such as digital master, digital shadow and modelling through system dynamics. Besides, the general vision of how digitalization is understood aligned to the vision of education 4.0 and applied to teach a tool to reduce the time for decision making into the industrial sector. © 2020 IEEE.;"Automation; Digital Pyramid; Digital twin; Digital Twin; Education computing; Educational Innovation; Engineering education; Engineering research; Exchange of information; Higher Education; Industrial automation; Industrial Automation; Industrial revolutions; Industry 4.0; Innovative technology; Intelligent manufacturing system; Manufacture; Manufacturing process; Product design; Programmable logic controllers; Recurrent neural networks; Risk perception; Students; Teaching-learning process; Technological forecasting; Undergraduate students; Virtual Commissioning";
6EEVCR6P;"Cruz Salazar, L.A.; Tovar, H.S.; Prada Salamanca, E.A.; Márquez Juárez, J.C.; Cruz, E.M.";Adaptive Learning and Interoperability in I4.0: A Case Study of Agent-based Digital Twin with Asset Administration Shell;2025;The integration of predictive industrial agents into Industry 4.0 (I4.0) systems offers new possibilities for adaptive learning and intelligent control in industrial and educational contexts. This paper presents a framework leveraging predictive agents, developed using the Python Agent Development Environment (PADE), embedded within programmable logic controllers (PLCs) to enhance the predictability and interoperability of digital twin (DTs) environments. By incorporating Asset Administration Shells (AAS) and adhering to IEC 61131-3 and IEC 61499 standards into the various PLCs, the system enables seamless communication and integration between flexible manufacturing cells in a remotely operated I4.0 laboratory. The predictive agents utilize supervised learning algorithms to forecast operational outcomes and optimize system performance, adapting dynamically to process requirements. Experimental results demonstrate the frameworḱs ability to enhance interoperability, and usability. Additionally, the proposed system addresses the educational gap by equipping engineering students with practical experience in predictive control and industrial standards. This research advances the field of intelligent adaptive control systems and highlights the potential of integrating predictive agents with digital twins by agent-based AAS to meet the evolving demands of I4.0. © 2025 The Authors.;"Adaptive control systems; Adaptive learning; Adaptive Learning System; Adaptive learning systems; Agent based; Asset administration shell; Asset Administration Shell; Autonomous agents; Case-studies; Digital twin; Digital Twin; E-learning; Engineering education; Flexible manufacturing systems; IEC 61499; Industrial context; Industrial research; Industry 4.0; Intelligent agents; Intelligent control; Learning algorithms; Learning systems; Logic controller; Machine learning; Predictive control systems; Predictive industrial agent; Predictive Industrial Agent; Programmable logic; Programmable logic controllers; Programmed control systems";
XMATM5GI;"Cuiffi, J.D.; Wang, H.; Heim, J.; Anthony, B.W.; Kim, S.; Kim, D.D.";Factory 4.0 Toolkit for Smart Manufacturing Training;2021;The rapid pace of technology development in the field of smart manufacturing has left educational systems scrambling to keep pace and adapt learning outcomes, resulting in inadequate preparedness and readiness of workforce at all levels. Often, smart manufacturing training materials are either broad and conceptual or a specific technical deep dive with little context. We have developed an educational toolkit that leverages an inexpensive, bench scale extrusion platform to provide lab activities and feature-rich data to explore fundamental concepts of smart manufacturing in a production context for an audience of both undergraduate engineering students and current manufacturing workforce members. Through investigation of the mock production platform and associated data, concepts and applications of modern data-driven tools are explored in the topic areas of data collection and the industrial internet of things, data analytics and predictive modeling for production data, simulation and digital twinning, and process and manufacturing systems optimization. The activities culminate in the exploration of advanced feedback control algorithms and optimization of operating conditions, balancing throughput, quality, and power consumption, using digital twins. The combination of overview conceptual materials along with in-depth activities on an actual process allows us to tailor the scope of the specific training to the intended audience. Select modules of the Factory 4.0 toolkit were delivered in an undergraduate course and in a training workshop for manufacturing personnel. Pre- and post-attitude surveys, along with participant comments, were used to assess the training approach and content. We found that the proper technical scope is critical for a given audience and that all types of manufacturing personnel, from technicians and engineers to operations and management, benefit from foundational smart manufacturing concepts and examples. We also found that for technical materials, student audiences required more of the fundamental instrumentation and statistical analysis topics, while current technical practitioners desired specific deep dives into data analytics, digital twinning, and process optimization after introductory overviews. Both educational experiences exposed a need for preparedness in programming and statistical analysis software tools to take advantage of these smart manufacturing concepts. © American Society for Engineering Education, 2021;"'current; Data analytics; Data Analytics; Deep dives; Educational systems; Educational toolkits; Engineering education; Human resource management; Learning outcome; Manufacturing concepts; Optimization; Personnel training; Predictive analytics; Quality control; Smart manufacturing; Statistical methods; Students; Surveys; Technology development; Training material";
8BL4J2HZ;"Eriksson, K.; Alsaleh, A.; Behzad Far, S.; Stjern, D.";Applying Digital Twin Technology in Higher Education: An Automation Line Case Study;2022;Production systems are being expanded to include Digital Twins (DTs) as part of increased industrial digitalization. DTs can bring benefits e.g., increase visibility, safety, and accessibility of the system. Further, digital experimentation can reduce time and cost. Though, application of DT technologies involves challenges i.e., model accuracy or errors in transferring data or codes between the DT and the physical twin. Many studies on DTs focus on industrial applications. However, DT technology has potential for implementation of digital labs in education. This aspect of DTs is of rising importance as distance education has increased over the last decade and access to physical laboratories can be restricted due to factors such as the Covid-19 pandemic. Thus, there is a need to study the use of DT technology in higher education. To address this, we investigate possibilities and challenges of applying DT technology in education to conduct industrial-like labs virtually. A case of an automation line, with full scale industrial equipment, based at a research center, is focused. Results emphasize that the application of DT technologies require multi-domain expertise to understand the consequences of every single decision in the design process on every piece of equipment involved, making the modelling process complex and time consuming. Thus, when applied in education, test procedures need to be designed to focus on students' motivation, improved learning and understanding of production systems. DTs are considered enabling technologies supporting the concept of Industry 5.0, thus stressing the human-centric aspects of advancing Industry 4.0. The predicted application of DTs emphasizes the need for educational curricula that include laboratory applications and theoretic understanding of DT technologies. This study focusses the application of DT technologies in higher education curricula, but the result of the study can contribute to other areas such as automation and virtual commissioning towards smarter manufacturing. © 2022 The authors and IOS Press.;"Automation; Case-studies; Curricula; Cyber Physical System; Cyber physicals; cyber-physical; digital twin; E-learning; Education computing; Engineering education; High educations; Industrial research; Industry 4.0; Laboratories; Modeling accuracy; Production system; Reduce costs; Reduce time; seamless transfer; Seamless transfer; Testing; virtual commissioning; Virtual commissioning; Virtual lab; virtual labs; Virtual reality";
