key;Author;Title;Year;Abstract;Keywords;Author_Keywords
Ahmed2025;"Ahmed, Syed Waqas; Zaidi, Abbas K.";Advancing Digital Twin Development in Systems Engineering Education through Model-Based Systems Engineering;2025;This study investigates the use of Model-Based Systems Engineering (MBSE) principles in digital twin (DT) development to enhance systems engineering education programs. The increasing prominence of digital twins across industries necessitates academic initiatives to train undergraduate students in DT creation. By leveraging MBSE principles and tools, this work fills a gap in undergraduate curricula, providing a structured framework for implementing small-scale DT systems. The focus of this study is the development of a virtual twin (VT) for a remotely operated rover (Physical Twin or PT). Using System Modeling Language (SysML), the work emphasizes designing and implementing a VT that mimics the PT's behavior, specifically predicting battery usage during operations. The VT integrates both structural and behavioral views and incorporates real-time data exchange with the PT. The methodology involves creating SysML diagrams for the VT, modeling the PT's structure and functionality, and establishing a bi-directional data link between the VT and PT using Magic Systems of Systems Architect. The PT, equipped with sensors and a microcontroller, generates real-time data for the VT to simulate battery performance and validate operational feasibility. Initial results demonstrate that the VT predicts the rover's capacity to complete specific trips based on its current battery state. This work contributes to DT education by presenting a scalable, hands-on case study, bridging academic learning with industry demands. © 2025 IEEE.;"Digital Twin; Engineering Education; MBSE; SysML; Systems Engineering; Battery management systems; Curricula; Education computing; Electronic data interchange; Modeling languages; Real time systems; Secondary batteries; Students; Virtual reality; Education programmes; Engineering principles; Engineering tools; Leveraging model; Model-based system engineerings; System modeling language; System models; Systems engineering education; Undergraduate curricula; Undergraduate students; Industries; Microcontrollers; MIMICs; Real-time systems; Systems Modeling Language; Digital twins; Batteries; Sensors; System of systems";"Digital Twin; Engineering Education; MBSE; SysML; Systems Engineering; Battery management systems; Curricula; Digital twin; Education computing; Electronic data interchange; Modeling languages; Real time systems; Secondary batteries; Students; Virtual reality; Education programmes; Engineering principles; Engineering tools; Leveraging model; Model-based system engineerings; System modeling language; System models; Systems engineering education; Undergraduate curricula; Undergraduate students; Engineering education; Industries; Microcontrollers; MIMICs; Real-time systems; Systems Modeling Language; Digital twins; Batteries; Sensors; System of systems"
AlvarezAriza2026;"Álvarez Ariza, Jonathan; Hernández Hernández, Carola";Investigating the Impact of Education 4.0 and Digital Learning on Students' Learning Outcomes in Engineering: A Four-Year Multiple-Case Study.;2026;"Education 4.0 and digital learning have led to a technology-driven transformation in educational methodologies and the roles of teachers, primarily at Higher Education Institutions (HEIs). From an educational standpoint, the extant literature on Education 4.0 highlights its technological features and benefits; however, there is a lack of studies that assess its impact on students’ learning outcomes. Seemingly, Education 4.0 features are taken for granted, as if the technology in itself were enough to guarantee students’ learning, self-efficacy, and engagement. Seeking to address this lack, this study describes the implications of tailoring Education 4.0 tenets and digital learning in an engineering curriculum. Four case studies conducted in the last four years with 119 students are presented, in which technologies such as digital twins, a Modular Production System (MPS), low-cost robotics, 3D printing, generative AI, machine learning, and mobile learning were integrated. With these case studies, an educational methodology with active learning, hands-on activities, and continuous teacher support was designed and deployed to foster cognitive and affective learning outcomes. A mixed-methods study was conducted, utilizing students’ grades, surveys, and semi-structured interviews to assess the approach’s impact. The outcomes suggest that including Education 4.0 tenets and digital learning can enhance discipline-based skills, creativity, self-efficacy, collaboration, and self-directed learning. These results were obtained not only via the technological features but also through the incorporation of reflective teaching that provided several educational resources and oriented the methodology for students’ learning and engagement. The results of this study can help complement the concept of Education 4.0, helping to find a student-centered approach and conceiving a balance between technology, teaching practices, and cognitive and affective learning outcomes. © 2026 by the authors.";"Education 4.0; digital learning; engineering education; Industry 4.0; Education 5.0; MOTIVATION; Digital technology; Educational technology; Educational outcomes; Active learning; Student engagement; Self-efficacy";"digital learning; Education 4.0; Education 5.0; engineering education; Industry 4.0; Digital technology; Educational technology; Educational outcomes; Active learning; Student engagement; Self-efficacy"
Ang2026;"Ang, Yu Qian; Ong, Lester; Teo, Jolyn; Gan, Jielong Vincent; Han, Jungmin";Advancing building performance simulation education through a crowdsourced campus digital twin.;2026;Building Performance Simulation (BPS) is critical in architecture and engineering education but remains challenging to teach, particularly to students with limited technical backgrounds. This study introduces a novel solution: a crowdsourced campus digital twin platform with tailored BPS pedagogy. Our platform hosts student-developed models and simulation templates, offering a hands-on, interactive learning environment. Over 50 first-year undergraduate students submitted 22 models. The crowdsourced element encouraged peer assessment, allowing students to compare and critically evaluate their work. Course evaluation feedback scores for this course–across various categories–surpassed departmental and faculty averages, validating the method’s effectiveness. Students highlighted the engaging and practical nature of the approach, although some found the learning curve steep and requested more foundational guidance. Overall, the findings demonstrate the value of this collaborative platform in fostering BPS learning, while also serving as a repository of multiscale data for future research. © 2025 International Building Performance Simulation Association (IBPSA).;"Building performance simulation education; crowdsourced digital twin; teaching BPS; building science education; building energy modeling; daylight analysis; TOOLS; Crowdsourcing; Curricula; Digital elevation model; Model buildings; Building energy model; Building performance simulations; Building science; Daylight analyze; Science education; Simulation education; Teaching building performance simulation; Students; Software architecture; Engineering; Sustainable buildings; Computer systems design and related services (except video game design and development); Digital twin; Peer review of students; Experiential learning";"building energy modeling; Building performance simulation education; building science education; crowdsourced digital twin; daylight analysis; teaching BPS; Crowdsourcing; Curricula; Digital elevation model; Model buildings; Building energy model; Building performance simulations; Building science; Daylight analyze; Science education; Simulation education; Teaching building performance simulation; Students; Software architecture; Engineering; Sustainable buildings; Computer systems design and related services (except video game design and development); Digital twin; Peer review of students; Experiential learning"
Anon2024;"简正豪; 陈卓贤; 刘云鸿; 刘继忠";基于数字孪生的液压回路虚拟实验系统.;2024;[Objective] This immersive digital twin-based virtual reality (VR) experiment system for hydraulic circuits integrates real-world physical structures with a twin model in virtual space, which significantly facilitates the researcher's in-depth understanding of the operation process and basic principles of the hydraulic system. To improve understanding of the application of digital twin technology in intelligent manufacturing processes and the demand for practical training of digital twins for cultivating new engineering talents, this study explores the application of digital twin technology in engineering education. This also has the potential to enhance students' understanding of the principles of hydraulic systems and practical operation capacity. The digital twin system developed herein provides a safe, controllable, and highly interactive learning environment for learners by generating accurate virtual twin models of physical entities and synchronizing data in real time. [Methods];"Data processing service centers; Real-time control; Engineering education; Computer Facilities Management Services; Computer systems design and related services (except video game design and development); Data Processing, Hosting, and Related Services; Hydraulic circuits; Digital twin";"Data processing service centers; Real-time control; Engineering education; Computer Facilities Management Services; Computer systems design and related services (except video game design and development); Data Processing, Hosting, and Related Services; Hydraulic circuits; Digital twin"
Ballinas2024;"Ballinas, Romeo; Urcid, Rodrigo; Medrano, Juan Pablo";Photogrammetry as a Method of Educational Innovation. Civil Engineering Student Case Study;2024;"Educational innovation is a daily challenge for both students and teachers. Over the years, new pedagogies and models have been developed so that both stakeholders can make the most of the spaces inside and outside the classroom. In response to this, there are various tools that not only facilitate student engagement in the class but also enable the instructor to use them to make sessions more active and raise the cognitive level. An example of what was described above is virtual or digital laboratories; these are interactive platforms that adapt to different styles of learning and teaching. In addition to this, they promote collaboration among students, motivate, nurture creativity, and allow for the repetition of experiences without the need to be physically present where the work is being done. This, in turn, results in the introduction of hybrid learning methods [1]. On the other hand, a tool that aids in the performance of these laboratories is photogrammetry, which is a remote information capture system. It includes remote sensing and photointerpretation, techniques that complement each other. However, it can be affirmed that photogrammetry is realized through a quantitative interpretation of aerial photographs and other aerial photographic materials to obtain maps [2]. Based on the elements described above, it is understood that educational innovation is at a point where, thanks to the appropriate use of technology, a teaching and learning process can be actively involving both teachers and students Urban heritage, encompassing both tangible and intangible heritage, is a valuable resource that can be effectively integrated into education. The digitization of historical and urban buildings through photogrammetry has become an innovative tool for transforming the way students interact with the built environment and cultural heritage. This combination of technology and education enables students to actively explore and learn about urban heritage, thereby contributing to its preservation. With the previous paragraphs as context, the aim of this article is to demonstrate the effectiveness of using photogrammetry to create digital twins of buildings and thus transform the concept of digital laboratories. The idea is that, using a technological tool, the learning process of undergraduate students can be enhanced by the digitization of buildings. The study presented here is conducted under a quantitative approach; specifically, a questionnaire consisting of five Likert scale items is administered to the students studying Civil Engineering at a private university in Puebla, Mexico. Finally, it must be acknowledged that virtual laboratories have transformed the educational process. Specifically, photogrammetry is a tool that helps students carry out various digital interventions on different buildings, enhancing their learning. © 2024 IEEE.";"buildings; digital twins; digitalization; educative innovation; photogrammetry; structures; Aerial photography; Antennas; E-learning; Education computing; Engineering education; Laboratories; Learning systems; Remote sensing; Students; Teaching; Case-studies; Civil engineering students; Cognitive levels; Digitisation; Educational innovations; Learning process; Student engagement; Teachers'; Technological innovation; Education; Transforms; Information and communication technology";"buildings; digital twins; digitalization; educative innovation; photogrammetry; structures; Aerial photography; Antennas; Buildings; E-learning; Education computing; Engineering education; Laboratories; Learning systems; Remote sensing; Students; Teaching; Case-studies; Civil engineering students; Cognitive levels; Digitalization; Digitisation; Educational innovations; Educative innovation; Learning process; Student engagement; Teachers'; Photogrammetry; Technological innovation; Education; Transforms; Information and communication technology"
Baranov2022;"Baranov, V.N.; Bezrukikh, A.I.; Konstantinov, I.L.; Rudnitsky, E.A.; Solopeko, N.S.; Baykovskiy, Y.V.";Digital Twin Application in Teaching Students Majoring in Metallurgical Engineering;2022;The article addresses the crucial issues of training engineering personnel with the use of digital twins. In particular, application of digital twins is highly relevant when it comes to training of metallurgical engineering students. At present, teaching of students majoring in metallurgy involving the use of casting aluminum alloys physical models has a number of restrictions such as a high cost of expandable material, safety regulations, the need to provide special access. In this context, the purpose of this article is to identify the advantages and disadvantages of the digital twin of modern technology for casting aluminum alloys for application in the educational process. The digital twin created at the Siberian Federal University is a digital analogue of modern industrial complexes used at metallurgical enterprises. The methodological support and a script provided testing of the digital twin on the master's students studying in the educational program 22.04.02.07 “Theory and technology of foundry production of non-ferrous metals and alloys”, direction of training 22.04.02 Metallurgy. The educational functionality of the model consists in passing the scenarios in the training and examination modes, which enables to test theoretical knowledge, gain skills and consolidate the skills of students. The training mode includes the necessary sequence of actions for passing one of the scenarios. The exam mode monitors user's actions with saving his history, on the basis of which a report with the final grade is formed. It is planned that as a result of using the digital twin of the semicontinuous casting of aluminum alloys in the educational process, graduates will develop general professional, professional mandatory and professional competencies. © 2022 Moscow Polytechnic University. All rights reserved.;"digital educational environment; digital twin; engineering education; metallurgical disciplines; metallurgical engineering; professional competencies; virtual model";"digital educational environment; digital twin; engineering education; metallurgical disciplines; metallurgical engineering; professional competencies; virtual model"
Barletta2025;"Barletta, V.S.; Caivano, D.; Catalano, C.; Gentile, A.; Posa, D.P.; Piccinno, A.";Cyber Digital Twin to improve Security Education: the RedTeam Knife approach;2025;Digital Twins (DTs) are emerging as powerful tools in cybersecurity, enabling real-time monitoring, analysis, and simulation of cyber-physical environments. By replicating IT (Information Technology), OT (Operational Technology), and IoT (Internet of Things) infrastructures, DTs enhance cyber-attack detection, incident response, and security resilience. This research explores how DTs, integrated with penetration testing tools, improve cybersecurity education by providing a structured framework for understanding cyber threats. The study introduces the Red Team Knife (RTK), a penetration testing toolset designed to support cybersecurity training and security operations. RTK aligns with the Cyber Kill Chain model to guide students through reconnaissance, exploitation, and response strategies. By leveraging DTs, RTK enhances cyber threat intelligence, facilitates real-world attack simulations, and bridges the gap between cybersecurity training and business demand. This approach is currently being tested within academic programs to improve students' cybersecurity competencies, offering hands-on experience in vulnerability assessment and security operations. The findings highlight the potential of DTs in transforming cybersecurity education, making training more adaptive and aligned with industry needs. © 2025 Copyright held by the owner/author(s).;"Cyber Human Interaction; Cyber Social Security; Digital Twins; Education.; Red Team; Computer crime; Cyber Physical System; Cybersecurity; E-learning; Education computing; Engineering education; Human computer interaction; Human engineering; Network security; Students; Cybe human interaction; Cybe social security; Cyber security; Cyber threats; Cyber-security educations; Humaninteraction; Security operations; Social Security; Internet of things";"Cyber Human Interaction; Cyber Social Security; Digital Twins; Education.; Red Team; Computer crime; Cyber Physical System; Cybersecurity; E-learning; Education computing; Engineering education; Human computer interaction; Human engineering; Network security; Students; Cybe human interaction; Cybe social security; Cyber security; Cyber threats; Cyber-security educations; Education.; Humaninteraction; Red team; Security operations; Social Security; Internet of things"
Behr2023;"Behr, A.S.; Neuendorf, L.M.; Sakthithasan, P.; Karan, M.; Fang, Q.; Boettcher, K.E.R.; Terkowsky, C.; Kockmann, N.";Uniting Knowledge and Application in a Hybrid Laboratory Experiment in Virtual Reality – A Cross-Reality Laboratory with Applications of Artificial Intelligence for Industry 4.0;2023;Current lecture methods at educational institutions are still performed analogously and mostly try to query knowledge from the students. Moreover, the field of digital skills, which is uncared of, gets increasingly crucial for today’s work life. Practical laboratory courses were introduced to counteract the analog-fashioned and theoretical lecture methods. The crux in these practical laboratories is that the interconnection between theoretical knowledge and practical application is entirely missing. Moreover, these practical courses have the disadvantage that they are limited locally and temporally. This full paper tackles the above mentioned problems by mitigating the gap between knowledge and practical laboratory by visualizing otherwise unseen information with digital methods. At first, a digital twin of a laboratory experiment, here an extraction plant, has been transferred to a virtual reality laboratory (VR-Lab) using Unreal Engine. This twin allows the operation of the extraction plant and extracting pre-captured experimental data. The second part deals with efficient methods of data evaluation using advanced artificial intelligence (AI) in Google Colabs. It is a more student-centered and sustainable, in terms of utilized resources, approach compared to conventional laboratory courses. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.;"Artificial intelligence; Engineering education; Industry 4.0; Laboratory education; Virtual reality; Data mining; E-learning; Extraction; Laboratories; Students; 'current; Data evaluation; Digital methods; Digital skills; Educational institutions; Laboratory course; Laboratory experiments; Virtual reality laboratories; Work life";"Artificial intelligence; Engineering education; Industry 4.0; Laboratory education; Virtual reality; Artificial intelligence; Data mining; E-learning; Engineering education; Extraction; Laboratories; Students; Virtual reality; 'current; Data evaluation; Digital methods; Digital skills; Educational institutions; Laboratory course; Laboratory education; Laboratory experiments; Virtual reality laboratories; Work life; Industry 4.0"
Boettcher2023a;"Boettcher, K.; Terkowsky, C.; Schade, M.; Brandner, D.; Grünendahl, S.; Pasaliu, B.";Developing a real-world scenario to foster learning and working 4.0 – on using a digital twin of a jet pump experiment in process engineering laboratory education.;2023;A newly-developed online laboratory experiment in immersive virtual reality (VR) is used for process engineering students. A digital twin (DT) of a jet pump was realised using the game engine Unreal Engine 4. The chance was taken for an instructional redesign deviating from the conventional cookbook-experiment to better integrate the changing competence demands of the working world 4.0 (W4.0). A real-world scenario (RWS) is used to address the sometimes-vague problem-solving assignments of W4.0: the students found themselves in an ambiguous situation which must be cleared and resolved constructively and autonomously by them. The RWS was evaluated by triangulating qualitative and quantitative methods. Firstly, its Constructive Alignment was evaluated, i.e. whether the intended learning outcomes to be achieved through the novel teaching and learning activities were reflected in the assessment tasks, too. Secondly, students were surveyed regarding their attitudes towards such new forms o;"Industry 4.0; Digital twin; Jet pumps; Production engineering education; Engineering laboratories; Testing Laboratories; Research and development in the physical, engineering and life sciences";"Industry 4.0; Digital twin; Jet pumps; Production engineering education; Engineering laboratories; Testing Laboratories; Research and development in the physical, engineering and life sciences"
Boltsi2025;"Boltsi, Angeliki; Kosmanos, Dimitrios; Xenakis, Apostolos; Chatzimisios, Periklis; Chaikalis, Costas";Towards a Novel Digital Twin Framework Proposal Within the Engineering Design Process for Future Engineers: An IoT Smart Building Use Case.;2025;The continuous evolution of Internet of Things (IoT) technologies presents significant opportunities and challenges within the domain of engineering education. This paper introduces a novel and comprehensive framework that extends the established Engineering Design Process (EDP) by incorporating a modular Digital Twin (DT) structure specifically tailored to smart building IoT applications in education. Unlike previous approaches, our framework enables real-time system feedback, simulation-based design iteration, and hands-on experimentation—all integrated within a pedagogical flow aligned with engineering curricula. It comprises seven distinct phases, providing a complete methodology that guides learners from fundamental concepts to advanced applications, including data visualization, real-time simulation, and system optimization. To demonstrate the applicability of the proposed framework, we design and experiment with a practical use case related to a meteorological station and data, which incorporate IoT-enabled sensors, actuators, and microcontrollers for real-time monitoring of environmental parameters and energy consumption within a smart building campus facility. Additionally, to support EDP extension, a hybrid pedagogical approach is introduced, which combines traditional engineering hands-on education methodologies with DT activities, to further foster experimental learning, iterative system design, and complex systems thinking development. To this end, our approach aims to bridge the gap between theoretical science and engineering knowledge, along with practical application use cases, contributing to a better preparation of future engineers capable of addressing interdisciplinary challenges associated with smart systems and digital transformation within the Industry 4.0 era. © 2025 by the authors.;"Digital Twin (DT); Engineering Design Process (EDP); engineering education; IoT; sensors and actuators; smart systems; TECHNOLOGY; EDUCATION; SYSTEM; Curricula; Design for manufacturability; Integrated circuit design; Intelligent buildings; Model structures; Teaching; User centered design; Application in education; Digital twin; Engineering design process; Internet of things technologies; Modulars; Real - Time system; Smart System; Twin structure; article; building; data visualization; digital transformation; drug development; energy consumption; engineering; environmental parameters; human; internet of things; sensor; simulation; smart device; systems thinking; Design for testability; Engineering design; Education methodology; Engineering Services; All Other Miscellaneous Schools and Instruction; Educational Support Services; Administration of Education Programs";"Digital Twin (DT); Engineering Design Process (EDP); engineering education; IoT; sensors and actuators; smart systems; Curricula; Design for manufacturability; Integrated circuit design; Intelligent buildings; Model structures; Teaching; User centered design; Application in education; Digital twin; Engineering design process; Internet of things technologies; Modulars; Real - Time system; Smart System; Twin structure; article; building; data visualization; digital transformation; drug development; energy consumption; engineering; environmental parameters; human; internet of things; sensor; simulation; smart device; systems thinking; Design for testability; Engineering design; Education methodology; Engineering Services; All Other Miscellaneous Schools and Instruction; Educational Support Services; Administration of Education Programs"
