key;Author;Title;Year;Abstract;Keywords;Author_Keywords;Index_Keywords;DigitalTwin_found;EngineeringEducation_found;stage1_decision;stage1_assessment_level;stage1_next_action;stage1_automatic_exclusion;stage1_automatic_exclusion_reason;stage1_rescued_blocks;stage1_justification;stage1_matched_title;stage1_matched_abstract;stage1_matched_author_kw;stage1_matched_index_kw;stage1_missing_blocks;stage2_decision;stage2_score;stage2_consensus;stage2_rationale;stage2_reviewer1_decision;stage2_reviewer1_score;stage2_reviewer1_criterion;stage2_reviewer1_evidence;stage2_reviewer1_justification;stage2_reviewer2_decision;stage2_reviewer2_score;stage2_reviewer2_criterion;stage2_reviewer2_evidence;stage2_reviewer2_justification;stage2_reviewer3_decision;stage2_reviewer3_score;stage2_reviewer3_criterion;stage2_reviewer3_evidence;stage2_reviewer3_justification;stage2_reviewer4_decision;stage2_reviewer4_score;stage2_reviewer4_criterion;stage2_reviewer4_evidence;stage2_reviewer4_justification;stage1_pass;included_in_review;screening_final;estadoFinal
Ochkov2022b;"Ochkov, Valery; Orlov, Konstantin; Chudova, Yulia";"25 Years of Teaching at the National Research University ""Moscow Power Engineering Institute"" on STEM Technology";2022;"The article describes more than a quarter-century of teaching courses on STEM technology at the National Research University ""Moscow Power Engineering Institute"" (MPEI). The necessity of opening a STEM specialty in pedagogical universities and STEM journals in Russia is substantiated. Provides links to scripts and tasks for STEM classes.";"Training; Power engineering; Pandemics; Turning; Software; Mathematical models; Task analysis; STEM education; interdisciplinary connections; cognitive education";"Training; Power engineering; Pandemics; Turning; Software; Mathematical models; Task analysis; STEM education; interdisciplinary connections; cognitive education";"Training; Power engineering; Pandemics; Turning; Software; Mathematical models; Task analysis; STEM education; interdisciplinary connections; cognitive education";0;1;exclude;vacio_conceptual;discard;1;vacio_conceptual;EngineeringEducation;Excluido: falta bloque conceptual 'DigitalTwin' en titulo, resumen y keywords.;;;STEM education;STEM education;DigitalTwin;;;;;;;;;;;;;;;;;;;;;;;;;0;0;EXCLUDE;EXCLUDE
Kuvshinnikov2024b;"Kuvshinnikov, Vladimir; Kovshov, Evgeny; Korchagin, Valery";3D Modeling for a Flexible Detector in VR Radiography Simulator;2024;Digital simulators based on virtual reality expand the range of educational opportunities and improve the quality of learning in various areas of knowledge through deeper “immersion” in the learning process. Attention to the details of the modeled process plays an important role. One of the tasks of interactive simulators is to provide an opportunity to see the relationship between the user’s actions and the obtained qualitative and quantitative parameters and quality attributes of the simulated process result. Considered the issue of curved shape detectors application relevance in the practice of penetrating radiation evaluation in general and in industrial radiography in particular. The prerequisites for the creation of flexible (bendable) form of digital radiographic detectors and the features of two generations of practically implemented devices are analyzed. Development of a flexible detector digital twin is considered, models and algorithms for its realization in a virtual reality environment are proposed, and the main results of computational and laboratory experiments as well as the obtained radiographic images are presented. The main task of virtual reality technologies within the qualified technical specialists training programs is the development of their professional skills and the formation of stable behavior patterns that ensure strict compliance with the rules and requirements of industrial safety, thereby ensuring the high quality of the end product.;"Radiography; Training; Solid modeling; Ionizing radiation; Computational modeling; Detectors; Virtual reality; virtual reality; radiography simulator; computer technologies; flexible detector; mathematical modeling; nondestructive testing";"Radiography; Training; Solid modeling; Ionizing radiation; Computational modeling; Detectors; Virtual reality; virtual reality; radiography simulator; computer technologies; flexible detector; mathema";"Radiography; Training; Solid modeling; Ionizing radiation; Computational modeling; Detectors; Virtual reality; virtual reality; radiography simulator; computer technologies; flexible detector; mathema";1;0;exclude;vacio_conceptual;discard;1;vacio_conceptual;;Excluido: falta bloque conceptual 'EngineeringEducation' en titulo, resumen y keywords.;;digital twin*;;;EngineeringEducation;;;;;;;;;;;;;;;;;;;;;;;;;0;0;EXCLUDE;EXCLUDE
Espach2022;"Espach, Andre; Gupta, Kapil";3D Printing - An Important Industry 4.0 Tool for Online and Onsite Learning;2022;Additive manufacturing (AM) which is commonly named as 3D printing has been found as an important tool for teaching and learning in engineering education. For both, onsite and online learning, it is exploited to facilitate students in project works, trainings, and prototype development. Fused deposition modeling (FDM) is one of the important material additive manufacturing technologies used most. It is a rapidly growing manufacturing process that offers many opportunities for research in advancing its capabilities for the enhanced performance to obtain better product quality, higher productivity, and sustainability. This paper presents a review of 3D printing with special emphasis on use of FDM for online and onsite learning. It also includes a discussion on optimization strategies in FDM for ease of part fabrication for various applications. Tool path and topology optimization strategies have been found the most prominent for part structures made by FDM. The aim of this paper is to facilitate the teachers, scholars and researchers by providing knowledge on 3D printing and encourage them to harness the potential of digital technologies for the development of students.;;;;0;1;exclude;vacio_conceptual;discard;1;vacio_conceptual;;Excluido: falta bloque conceptual 'DigitalTwin' en titulo, resumen y keywords.;;engineering education;;;DigitalTwin;;;;;;;;;;;;;;;;;;;;;;;;;0;0;EXCLUDE;EXCLUDE
Koshekov2026;"Koshekov, Kayrat; Tanovitskiy, Yury; Seidakhmetov, Beken; Koshekov, Abay; Kurbanov, Yakub; Pirmanov, Ildar; Togambayev, Rustam";3D-VR Simulators for Engineering Training on Aircraft Maintenance Equipment Using Intellectual Support;2026;This article considers the process of training aviation personnel by means of intellectual technology of digital twins. The method and stages of creating digital twins of helicopter equipment units, such as interviewing aviation personnel to form scenarios of interaction with them, digitizing the images, building models in the three-dimensional plane and virtualization using artificial intelligence technology, are described. The authors also identify three main types of constraints in the realization of digital twins: fundamental, technical and economic. The result of the work is developed 5 digital doubles, which are successfully implemented at the enterprises of aviation industry of the Republic of Kazakhstan. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.;"3-dimensional; Digital twins; Helicopter; Training; Virtual reality";"3-dimensional; Digital twins; Helicopter; Training; Virtual reality";"3-dimensional; Digital twins; Helicopter; Training; Virtual reality";1;1;INCLUDE;coincidencia_total;semantic_review;0;;;All conceptual blocks present;engineering training;digital twin*;digital twin*;digital twin*;;excluded;0.4333;moderator_resolved_exclude;Moderator-resolved (after 3-reviewer disagreement): The title and abstract describe a 3D-VR simulator for training, which is a near-miss per SCOPE_OF_REVIEW (no synchronized physical-virtual coupling). The setting is industrial aviation training, not h;uncertain;0.5;unclear;digital twins;The abstract claims 'digital twins' but does not specify bidirectional physical-virtual coupling, leaving construct ambiguous. The setting 'aviation personnel' could include higher education but is not explicitly stated. Empirical evidence of evaluat;exclude;0.8;EC4;3D-VR Simulators;The title and abstract describe '3D-VR Simulators' and 'virtual reality' for training, which is a near-miss per the construct definition (no synchronized physical-virtual coupling). Additionally, the context is aviation industry personnel training, n;exclude;0;EC4;"3D-VR Simulators; virtual reality";The abstract describes a 3D-VR simulator for training, which is a near-miss (VR with no synchronized physical-virtual coupling). The setting is industrial aviation training, not higher education. No empirical evidence reported.;exclude;0.9;EC4;3D-VR Simulators;The title and abstract describe a 3D-VR simulator for training, which is a near-miss per SCOPE_OF_REVIEW (no synchronized physical-virtual coupling). The setting is industrial aviation training, not higher education. This aligns with reviewer 2 and 3;1;0;EXCLUDE;EXCLUDE
Pourrahmani2026;Pourrahmani, Hossein;9 Educational evolution in mechanical and chemical engineering in the artificial intelligence era: The change of teaching philosophy;2026;The integration of artificial intelligence (AI) into mechanical and chemical engineering is reshaping not only industrial applications but also the way these disciplines are taught. Traditional engineering education has long been rooted in fundamental physics, mathematical rigor, and hands-on experimentation. However, the integration of AI demands a paradigm shift toward data-driven methodologies, computational modeling, and interdisciplinary learning. This chapter examines the evolving landscape of engineering education, with a focus on the transition from traditional teaching approaches to AI-enhanced curricula. It examines the role of machine learning, automation, and digital twin technology in modern engineering education while highlighting the importance of problem-solving, critical thinking, and ethics in AI-driven decision-making. Additionally, the chapter discusses emerging educational models, such as project-based learning, AI-assisted virtual laboratories, and industry-academic collaborations, to prepare future engineers for a rapidly changing technological landscape.;;;;1;1;INCLUDE;coincidencia_total;semantic_review;0;;;All conceptual blocks present;;"digital twin*; engineering education";;;;excluded;0.3333;unanimous;Unanimous exclude: 3/3 reviewers agreed (avg score: 0.33);exclude;0;EC1;This chapter examines;The abstract identifies the item as a chapter, which is not an empirical journal article, full conference paper, or early-access empirical article, thus ineligible per document type rule (UA1).;exclude;1;UA1;This chapter examines;The abstract explicitly states it is a chapter, which is not an eligible document type per the protocol's DOCUMENT_RULE (UA1). Book chapters are ineligible regardless of thematic relevance.;exclude;0;EC1;chapter;The abstract describes a book chapter discussing AI integration in engineering education, not an empirical study. It lacks any implementation, deployment, or evaluation of a Digital Twin. The mention of digital twin technology is peripheral. Document;;;;;;1;0;EXCLUDE;EXCLUDE
Lin2026a;"Lin, Zhiting; Liu, Yu";A “Coach-Assistant” Human-AI Collaborative Paradigm for AI-Empowered Integrated Circuit Design Education;2026;"The rapid development of generative artificial intelligence (AI) has exposed structural limitations in traditional integrated circuit (IC) engineering education, where teaching objectives remain focused on low-order cognitive tasks that AI can easily replace. This paper proposes a “coach-assistant” human-AI collaborative teaching paradigm that systematically reconstructs the IC education ecosystem by integrating multi-agent AI systems with electronic design automation (EDA) toolchains, thereby advancing computer technology applications in electronic engineering and promoting efficiency in IC design processes. In the proposed framework, AI is repositioned as an always-available intelligent partner that supports concept formation, design-space exploration, multi-objective optimization, and reflective practice, while instructors shift to facilitating higher-order thinking and learning-process design. Key implementation strategies include: (1) dynamic knowledge graphs for personalized theoretical learning; (2) open-ended performance-optimization competitions to drive inquiry-based experimental teaching; and (3) digital-twin-based visualization of multidimensional learning trajectories, enabling a shift from outcome-oriented to process-oriented developmental evaluation. The paradigm leverages generative AI to enhance EDA workflows, accelerating multi-objective optimization and trade-off analysis in IC design, cultivating compound talents proficient in AI-driven electronic systems.";;;;0;1;exclude;vacio_conceptual;discard;1;vacio_conceptual;;Excluido: falta bloque conceptual 'DigitalTwin' en titulo, resumen y keywords.;;engineering education;;;DigitalTwin;;;;;;;;;;;;;;;;;;;;;;;;;0;0;EXCLUDE;EXCLUDE
Assad2025;"Assad, F.; Rushforth, E.J.; Harrison, R.";A component-based design approach for energy flexibility in cyber-physical manufacturing systems;2025;Energy flexibility of manufacturing systems helps to meet sustainable manufacturing requirements and is getting significant importance with rising energy prices and noticeable climate changes. Considering the need to proactively enable energy flexibility in modern manufacturing systems, this work presents a component-based design approach that aims to embed energy flexibility in the design of cyber-physical production systems. To this end, energy management using Industry 4.0 technologies (e.g., Internet of Things and Cyber-physical Systems) is compared to the literature on energy flexibility in order to evaluate to what extent the energy flexibility practice takes advantage of Industry 4.0 technologies. Another dimension is the coverage of the life cycle of the manufacturing system which guarantees its sustainable design and the ability to achieve energy flexibility by configuring the energy consumption behaviour. A data-based design approach of the energy-flexible components is proposed in the spirit of the Reference Architectural Model Industrie 4.0 (RAMI 4.0), and then it is exemplified using an electric drive (as a component) in order to show the practical applicability of the approach. The energy consumption behaviour of the component is modelled using machine learning techniques. The digital twin of the studied component is developed using Visual Components virtual engineering environment, then its energy consumption behaviour is included in the model allowing the system integrator/decision-maker to configure the component based on the energy availability/price. Finally, external services in terms of an optimisation module and a deep learning module are connected to the digital twin. © The Author(s) 2023.;"Component-based design; Cyber-physical Systems (CPS); Energy flexibility; Industry 4.0; IoT; RAMI 4.0; Sustainability; Carbon footprint; Climate change; Deep learning; Digital storage; Electric drives; Embedded systems; Energy utilization; Engineering education; Greenhouse gases; Internet of things;";"Component-based design; Cyber-physical Systems (CPS); Energy flexibility; Industry 4.0; IoT; RAMI 4.0; Sustainability; Carbon footprint; Climate change; Deep learning; Digital storage; Electric drives";"Component-based design; Cyber-physical Systems (CPS); Energy flexibility; Industry 4.0; IoT; RAMI 4.0; Sustainability; Carbon footprint; Climate change; Deep learning; Digital storage; Electric drives";1;1;INCLUDE;rescate_keywords;semantic_review;0;;;All conceptual blocks present;;digital twin*;engineering education;engineering education;;excluded;0.6;unanimous;Unanimous exclude: 3/3 reviewers agreed (avg score: 0.60);exclude;0.8;EC2;Energy flexibility of manufacturing systems;The abstract focuses on energy flexibility in manufacturing systems and uses a digital twin for industrial/operational purposes. There is no mention of any educational application, teaching, or higher education setting. The keyword 'engineering educa;exclude;0;EC2;the digital twin of the studied component is developed using Visual Components virtual engineering environment, then its energy consumption behaviour is included in the model allowing the system integrator/decision-maker to configure the component ba;The abstract focuses on a component-based design approach for energy flexibility in cyber-physical manufacturing systems, describing a digital twin for industrial operational use. No educational application, teaching, or learning is mentioned. The in;exclude;1;EC2;;The abstract focuses on a component-based design approach for energy flexibility in cyber-physical manufacturing systems, with no mention of educational application, higher-education setting, or empirical study of learning outcomes. The digital twin ;;;;;;1;0;EXCLUDE;EXCLUDE
Amoda2025;"Amoda, Niket; Jolly, Lochan; Rawankar, Arpit";A Comprehensive Review of Remote Laboratories in Engineering Education: Evolution, Challenges, and Future Directions;2025;The increasing demand for flexible, scalable, and skill-oriented engineering education has accelerated the development of remote laboratories (RALs) that provide internet-based access to real experimental setups. This paper presents a comprehensive review and comparative analysis of remote laboratories in communication engineering and related domains. Early implementations demonstrated feasibility but suffered from limitations in interactivity, scalability, and security. Over the past two decades, landmark initiatives such as VISIR, MIT iLabs, LabShare, and India's Virtual Labs have expanded the scope of RALs across electronics, control, signal processing, photonics, and embedded systems. Despite significant progress, persistent challenges remain, including inadequate real-time feedback, limited multi-user collaboration, insufficient data acquisition (DAQ) integration, and security vulnerabilities. Recent advancements such as cloud computing, Internet of Things (IoT)-enabled smart laboratories, and artificial intelligence (AI)-driven support systems show promise in addressing these issues. This study identifies key research gaps and proposes design directions for next-generation intelligent remote laboratories that are secure, scalable, pedagogically integrated, and sustainable. Emphasis is placed on incorporating cloud-native architectures, multi-user concurrency, and immersive technologies (AR/VR, digital twins) to enhance authenticity and accessibility. The findings highlight that with appropriate design and institutional collaboration, remote laboratories can democratize access to 'anytime, anywhere' experimentation, bridging the experiential gap in modern engineering education. © 2025 IEEE.;"AI Integration; Cloud Computing; Data Acquisition Systems; Educational Technology; Engineering Education; Future Directions; IoT; Multi-User Collaboration; Pedagogical Integration; Real-Time Control; Remote Laboratories; Scalability; Security; Data acquisition; Data integration; E-learning; Educatio";"AI Integration; Cloud Computing; Data Acquisition Systems; Educational Technology; Engineering Education; Future Directions; IoT; Multi-User Collaboration; Pedagogical Integration; Real-Time Control; ";"AI Integration; Cloud Computing; Data Acquisition Systems; Educational Technology; Engineering Education; Future Directions; IoT; Multi-User Collaboration; Pedagogical Integration; Real-Time Control; ";1;1;INCLUDE;coincidencia_total;semantic_review;0;;;All conceptual blocks present;engineering education;"digital twin*; engineering education";engineering education;engineering education;;excluded;0.6667;unanimous;Unanimous exclude: 3/3 reviewers agreed (avg score: 0.67);exclude;1;EC1;comprehensive review;The abstract explicitly states it is a 'comprehensive review,' which is an ineligible document type per DOCUMENT_RULE (UA1/EC1). Document type alone is disqualifying regardless of thematic relevance.;exclude;1;UA1;A Comprehensive Review of Remote Laboratories in Engineering Education;The document type is a review (title includes 'Comprehensive Review'), which is explicitly listed as ineligible by DOCUMENT_TYPE criterion UA1. Therefore, excluded immediately regardless of thematic relevance.;exclude;0;UA1;This paper presents a comprehensive review and comparative analysis of remote laboratories;The article is a comprehensive review, which is an ineligible document type per UA1. Additionally, digital twins are only mentioned peripherally as a future direction, not as the central construct, and there is no empirical study.;;;;;;1;0;EXCLUDE;EXCLUDE
Kanjariya2025;"Kanjariya, N.K.; Singh, S.K.; Ravikumar, R.N.; Wanglen, S.; Verma, D.K.";A comprehensive review on next-generation digital twin with concept, application, architecture, challenges, and opportunities;2025;"Digital Twin (DT) technology has been employed as an innovator prototype in all industries; it adds to the creation of a virtual picture of physical facilities, processes and systems. This concept which evolved from the engineering areas and the manufacturing industries has extended to other fields of operation like manufacturing, health, transport, and agricultural and urban development fields. Real- time data, stream acquisition, modeling and simulation, operation optimization, decision- making improvement, analytics, and DTs allow businesses to achieve better insight. Next generation DT means next generation DT is an innovation of DT. This paper provides brief description on what DT technology is and the DT technology of the next generation, the elements of the DT at the center and how DT works. Furthermore, we consider the problems, prospects, and tendencies of the application of DTs. Hence, the paper presents a focus on the DT enabled machine learning architecture, security concerns and remedies. To justify that DT are useful for designing the future of interconnected data driven systems, examples of articles and industry are presented. © 2025, IGI Global Scientific Publishing. All rights reserved.";"Agricultural machinery; Artificial intelligence; Engineering education; Learning systems; Acquisition models; Agricultural development; Application architecture; Decisions makings; Machine-learning; Manufacturing industries; Model and simulation; Operations optimization; Real-time data streams; Urba";"Agricultural machinery; Artificial intelligence; Engineering education; Learning systems; Acquisition models; Agricultural development; Application architecture; Decisions makings; Machine-learning; M";"Agricultural machinery; Artificial intelligence; Engineering education; Learning systems; Acquisition models; Agricultural development; Application architecture; Decisions makings; Machine-learning; M";1;1;INCLUDE;rescate_keywords;semantic_review;0;;;All conceptual blocks present;digital twin*;digital twin*;"digital twin*; engineering education";"digital twin*; engineering education";;excluded;0.6667;unanimous;Unanimous exclude: 3/3 reviewers agreed (avg score: 0.67);exclude;0;UA1;A comprehensive review;The title explicitly states it is a review, and the abstract confirms a review of DT technology without presenting empirical data or an educational application in higher-education engineering/STEM. Document type is ineligible per DOCUMENT_RULE.;exclude;1;UA1;A comprehensive review on next-generation digital twin with concept, application, architecture, challenges, and opportunities;The title and abstract explicitly indicate this is a comprehensive review, which is an ineligible document type per DOCUMENT_RULE. No empirical study or educational application is present.;exclude;1;EC1;comprehensive review;The article is a review paper, which is an ineligible document type per DOCUMENT_RULE (UA1). It does not report empirical data, and the abstract lacks any educational implementation or evaluation in higher education engineering/STEM.;;;;;;1;0;EXCLUDE;EXCLUDE
Tran2023;"Tran, A.T.; Nguyen, D.V.; Le, T.; Nguyen, H.Q.; Le, C.H.; Zlatov, N.; Hristov, G.; Zahariev, P.; Solanki, V.K.";A Conceptual Model of Digital Twin for Potential Applications in Healthcare;2023;Digital Twin (DT) is one of the important enabling technologies for Smart Manufacturing and Industry 4.0, with a huge potential for many impactful applications in healthcare and industries. This paper presents a conceptual model of a DT system, with a proof-of-concept (POC) prototype of a robot for demonstrations and further investigations of DT applications in telehealth and in-home healthcare. The successfully developed POC prototype were tested to evaluate time delay, and possible errors when operating and controlling the virtual and physical models of a robot. The proposed conceptual model of a DT system can be used for demonstrations about DT, with further developments for potential applications in healthcare and industries, especially when it is integrated with emerging technologies such as artificial intelligence, machine learning, big data analytics, smart sensors, augmented reality and virtual reality. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.;"Digital Twin; Human-robot Interaction; Industry 4.0; ROS; Unity; Augmented reality; Data Analytics; Engineering education; Health care; Human robot interaction; Medical computing; Virtual reality; Concept prototype; Conceptual model; Enabling technologies; Home healthcare; Humans-robot interactions;";"Digital Twin; Human-robot Interaction; Industry 4.0; ROS; Unity; Augmented reality; Data Analytics; Engineering education; Health care; Human robot interaction; Medical computing; Virtual reality; Con";"Digital Twin; Human-robot Interaction; Industry 4.0; ROS; Unity; Augmented reality; Data Analytics; Engineering education; Health care; Human robot interaction; Medical computing; Virtual reality; Con";1;1;INCLUDE;rescate_keywords;semantic_review;0;;;All conceptual blocks present;digital twin*;digital twin*;"digital twin*; engineering education";"digital twin*; engineering education";;excluded;0.3;unanimous;Unanimous exclude: 3/3 reviewers agreed (avg score: 0.30);exclude;0;EC2;potential applications in healthcare and industries;"The abstract describes a conceptual model and prototype for DT in healthcare and industries; the keyword 'Engineering education' appears but the abstract does not mention any educational use, deployment in an educational setting, or empirical evaluat";exclude;0.9;EC2;potential applications in healthcare and industries;The abstract explicitly confines the Digital Twin to healthcare and industrial applications with no mention of educational use in higher education engineering/STEM. Keywords include 'engineering education' but the abstract itself lacks any educationa;exclude;0;EC2;Digital Twin (DT) is one of the important enabling technologies for Smart Manufacturing and Industry 4.0, with a huge potential for many impactful applications in healthcare and industries.;The abstract describes a conceptual model of a DT system for healthcare applications, with no mention of educational purpose or higher-education engineering/STEM setting. The emphasis is on telehealth and industrial use, not teaching or learning.;;;;;;1;0;EXCLUDE;EXCLUDE
