"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"6J8AMAN8","journalArticle","2026","Álvarez Ariza, Jonathan; Hernández Hernández, Carola","Investigating the Impact of Education 4.0 and Digital Learning on Students' Learning Outcomes in Engineering: A Four-Year Multiple-Case Study.","Informatics","","2227-9709","10.3390/informatics13020018","https://www.scopus.com/pages/publications/105031384359?origin=resultslist","Education 4.0 and digital learning have led to a technology-driven transformation in educational methodologies and the roles of teachers, primarily at Higher Education Institutions (HEIs). From an educational standpoint, the extant literature on Education 4.0 highlights its technological features and benefits; however, there is a lack of studies that assess its impact on students’ learning outcomes. Seemingly, Education 4.0 features are taken for granted, as if the technology in itself were enough to guarantee students’ learning, self-efficacy, and engagement. Seeking to address this lack, this study describes the implications of tailoring Education 4.0 tenets and digital learning in an engineering curriculum. Four case studies conducted in the last four years with 119 students are presented, in which technologies such as digital twins, a Modular Production System (MPS), low-cost robotics, 3D printing, generative AI, machine learning, and mobile learning were integrated. With these case studies, an educational methodology with active learning, hands-on activities, and continuous teacher support was designed and deployed to foster cognitive and affective learning outcomes. A mixed-methods study was conducted, utilizing students’ grades, surveys, and semi-structured interviews to assess the approach’s impact. The outcomes suggest that including Education 4.0 tenets and digital learning can enhance discipline-based skills, creativity, self-efficacy, collaboration, and self-directed learning. These results were obtained not only via the technological features but also through the incorporation of reflective teaching that provided several educational resources and oriented the methodology for students’ learning and engagement. The results of this study can help complement the concept of Education 4.0, helping to find a student-centered approach and conceiving a balance between technology, teaching practices, and cognitive and affective learning outcomes. © 2026 by the authors.","2026","2026-05-27 10:54:29","2026-05-27 10:54:29","","18","","2","13","","","","","","","","MDPI","","English","","","","","","","","","E:\Zotero\storage\8MB44RTA\Álvarez Ariza y Hernández Hernández - 2026 - Investigating the Impact of Education 4.0 and Digital Learning on Students' Learning Outcomes in Eng.pdf","","Educational technology; Self-efficacy; Industry 4.0; Active learning; Education 4.0; engineering education; digital learning; Student engagement; Digital technology; Educational outcomes; Education 5.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EA8ZWUTY","journalArticle","2022","Baranov, V.N.; Bezrukikh, A.I.; Konstantinov, I.L.; Rudnitsky, E.A.; Solopeko, N.S.; Baykovskiy, Y.V.","Digital Twin Application in Teaching Students Majoring in Metallurgical Engineering","Vysshee Obrazovanie v Rossii","","08693617","10.31992/0869-3617-2022-31-2-135-148","https://www.scopus.com/pages/publications/85126283399?origin=resultslist","The article addresses the crucial issues of training engineering personnel with the use of digital twins. In particular, application of digital twins is highly relevant when it comes to training of metallurgical engineering students. At present, teaching of students majoring in metallurgy involving the use of casting aluminum alloys physical models has a number of restrictions such as a high cost of expandable material, safety regulations, the need to provide special access. In this context, the purpose of this article is to identify the advantages and disadvantages of the digital twin of modern technology for casting aluminum alloys for application in the educational process. The digital twin created at the Siberian Federal University is a digital analogue of modern industrial complexes used at metallurgical enterprises. The methodological support and a script provided testing of the digital twin on the master's students studying in the educational program 22.04.02.07 “Theory and technology of foundry production of non-ferrous metals and alloys”, direction of training 22.04.02 Metallurgy. The educational functionality of the model consists in passing the scenarios in the training and examination modes, which enables to test theoretical knowledge, gain skills and consolidate the skills of students. The training mode includes the necessary sequence of actions for passing one of the scenarios. The exam mode monitors user's actions with saving his history, on the basis of which a report with the final grade is formed. It is planned that as a result of using the digital twin of the semicontinuous casting of aluminum alloys in the educational process, graduates will develop general professional, professional mandatory and professional competencies. © 2022 Moscow Polytechnic University. All rights reserved.","2022","2026-05-27 10:54:29","2026-05-27 10:54:29","","135–148","","2","31","","","","","","","","Moscow Polytechnic University","","Russian","","","","","","","","","E:\Zotero\storage\MQ8C4XQQ\Baranov et al. - 2022 - Digital Twin Application in Teaching Students Majoring in Metallurgical Engineering.pdf","","engineering education; professional competencies; digital twin; digital educational environment; metallurgical disciplines; metallurgical engineering; virtual model","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CCRR3WV2","conferencePaper","2025","Barletta, V.S.; Caivano, D.; Catalano, C.; Gentile, A.; Posa, D.P.; Piccinno, A.","Cyber Digital Twin to improve Security Education: the RedTeam Knife approach","CHItaly 2025 - Proceedings of the 16th Biannual Conference of the Italian SIGCHI Chapter","","979-840072102-1 (ISBN)","10.1145/3750069.3750102","https://www.scopus.com/pages/publications/105022168776?origin=resultslist","Digital Twins (DTs) are emerging as powerful tools in cybersecurity, enabling real-time monitoring, analysis, and simulation of cyber-physical environments. By replicating IT (Information Technology), OT (Operational Technology), and IoT (Internet of Things) infrastructures, DTs enhance cyber-attack detection, incident response, and security resilience. This research explores how DTs, integrated with penetration testing tools, improve cybersecurity education by providing a structured framework for understanding cyber threats. The study introduces the Red Team Knife (RTK), a penetration testing toolset designed to support cybersecurity training and security operations. RTK aligns with the Cyber Kill Chain model to guide students through reconnaissance, exploitation, and response strategies. By leveraging DTs, RTK enhances cyber threat intelligence, facilitates real-world attack simulations, and bridges the gap between cybersecurity training and business demand. This approach is currently being tested within academic programs to improve students' cybersecurity competencies, offering hands-on experience in vulnerability assessment and security operations. The findings highlight the potential of DTs in transforming cybersecurity education, making training more adaptive and aligned with industry needs. © 2025 Copyright held by the owner/author(s).","2025","2026-05-27 10:54:29","2026-05-27 10:54:29","","68","","","","","","","","","","","Association for Computing Machinery, Inc","","English","","","","","","","","","E:\Zotero\storage\H777PMSX\Barletta et al. - 2025 - Cyber Digital Twin to improve Security Education the RedTeam Knife approach.pdf","","Students; Internet of things; Engineering education; E-learning; Education computing; Human computer interaction; Human engineering; Network security; Cyber security; Cybersecurity; Cyber Physical System; Humaninteraction; Cyber-security educations; Computer crime; Digital Twins; Cyber threats; Security operations; Education.; Cybe human interaction; Cybe social security; Cyber Human Interaction; Cyber Social Security; Red team; Red Team; Social Security","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6XH9DD3P","journalArticle","2025","Boltsi, Angeliki; Kosmanos, Dimitrios; Xenakis, Apostolos; Chatzimisios, Periklis; Chaikalis, Costas","Towards a Novel Digital Twin Framework Proposal Within the Engineering Design Process for Future Engineers: An IoT Smart Building Use Case.","Sensors (14248220)","","1424-8220","10.3390/s25113504","https://www.scopus.com/pages/publications/105007750261?origin=resultslist","The continuous evolution of Internet of Things (IoT) technologies presents significant opportunities and challenges within the domain of engineering education. This paper introduces a novel and comprehensive framework that extends the established Engineering Design Process (EDP) by incorporating a modular Digital Twin (DT) structure specifically tailored to smart building IoT applications in education. Unlike previous approaches, our framework enables real-time system feedback, simulation-based design iteration, and hands-on experimentation—all integrated within a pedagogical flow aligned with engineering curricula. It comprises seven distinct phases, providing a complete methodology that guides learners from fundamental concepts to advanced applications, including data visualization, real-time simulation, and system optimization. To demonstrate the applicability of the proposed framework, we design and experiment with a practical use case related to a meteorological station and data, which incorporate IoT-enabled sensors, actuators, and microcontrollers for real-time monitoring of environmental parameters and energy consumption within a smart building campus facility. Additionally, to support EDP extension, a hybrid pedagogical approach is introduced, which combines traditional engineering hands-on education methodologies with DT activities, to further foster experimental learning, iterative system design, and complex systems thinking development. To this end, our approach aims to bridge the gap between theoretical science and engineering knowledge, along with practical application use cases, contributing to a better preparation of future engineers capable of addressing interdisciplinary challenges associated with smart systems and digital transformation within the Industry 4.0 era. © 2025 by the authors.","2025","2026-05-27 10:54:29","2026-05-27 10:54:29","","3504","","11","25","","","","","","","","MDPI","","English","","","","","","","","","E:\Zotero\storage\ENC57G9Z\Boltsi et al. - 2025 - Towards a Novel Digital Twin Framework Proposal Within the Engineering Design Process for Future Eng.pdf","","IoT; Teaching; energy consumption; article; human; simulation; engineering; engineering education; Curricula; digital transformation; User centered design; environmental parameters; building; Engineering design; data visualization; Engineering design process; Digital twin; internet of things; Engineering Services; Administration of Education Programs; All Other Miscellaneous Schools and Instruction; Educational Support Services; Integrated circuit design; Real - Time system; Internet of things technologies; Smart System; sensor; systems thinking; Design for manufacturability; Application in education; Design for testability; Intelligent buildings; Model structures; Education methodology; Digital Twin (DT); Modulars; smart device; drug development; Engineering Design Process (EDP); sensors and actuators; smart systems; Twin structure","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3PCKDEQL","journalArticle","2026","Bonavolonta, Francesco; Verde, Maria Teresa; Schiano Lo Moriello, Rosario; Liccardo, Annalisa","Sustainability comparison between a traditional electronics measurement laboratory and an immersive metaverse laboratory: An extended life cycle assessment analysis","Acta IMEKO","","0237-028X","10.21014/actaimeko.v15i1.2199","https://www.scopus.com/pages/publications/105033699443?origin=resultslist","University laboratories are essential for engineering education but often require significant resources in terms of energy, equipment, and space. This paper presents a comparative Life Cycle Assessment of two models: a traditional measurement laboratory with 20 physical workstations and an immersive digital twin-based laboratory (IM-MetaLAB) supported by one high-performance workstation and 20 virtual reality headsets. The study extends the Life Cycle Assessment framework to the triple bottom line, jointly addressing environmental, economic, and social dimensions. Results highlight substantial advantages of the immersive model. Energy demand decreases from 18,000 to 7,000 kW h/year, with associated emissions reduced by more than 60 %. Over a seven-year horizon, electronic waste is reduced from 500–600 kg to about 200 kg. Economically, capital expenditures drop from approximately 100,000 € to 25,000 €, while annual operating costs fall from 17,000 € to 5,000 €, yielding a per-student exercise cost four times lower. Socially, immersive access enables remote 24/7 participation, improves completion rates (70 % vs 56 %) and average grades (27.4/30 vs. 25/30), and eliminates commuting emissions (≈ 24 tCO2/year for 40 students). The immersive laboratory thus proves to be a sustainable, cost-effective, and pedagogically effective alternative to the traditional activities, showing how digital twin and virtual reality technologies can support both innovation in teaching and institutional sustainability goals. This is an open-access article distributed under the terms of the Creative Commons Attribution 4.0 International License.","2026","2026-05-27 10:54:29","2026-05-27 10:54:29","","1-nov","","1","15","","","","","","","","IMEKO - Int Measurement Confederation","","English","","","","","","","","","E:\Zotero\storage\6RWV9KYE\Bonavolonta et al. - 2026 - Sustainability comparison between a traditional electronics measurement laboratory and an immersive.pdf","","digital twin; sustainability in higher education; life cycle assessment (LCA); triple bottom line (TBL); virtual reality in education","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8HY5G5V9","conferencePaper","2025","Chen, S.; Chen, Y.","Research on the virtual simulation system of intelligent manufacturing production line teaching based on digital twin","Proceedings of 2025 International Conference on Artificial Intelligence and Smart Manufacturing, ICAISM 2025","","979-840071435-1 (ISBN)","10.1145/3756423.3756455","https://www.scopus.com/pages/publications/105021352842?origin=resultslist","With the continuous improvement of science and technology and education level, new technology and new directions are gradually integrated into the course teaching practice. The teaching virtual simulation system of the wheel hub intelligent manufacturing production line studied in this project, combined with the existing production line conditions of the school and the cooperative enterprises, used NX MCD to build the production line simulation model and signal mapping, and successfully built the virtual prototype. PLC control program and HMI design were completed in TIA process, and data exchange between virtual prototype and hardware PLC was realized through OPC UA communication, so as to realize virtual and real collaborative operation. The experimental results show that the virtual model is completely consistent with the hardware device, and can be synchronized in real time. Through the introduction of digital twin virtual simulation technology, this project provides significant support and positive results for the teaching of intelligent manufacturing production line technology course. © 2025 Copyright held by the owner/author(s).","2025","2026-05-27 10:54:29","2026-05-27 10:54:29","","204–209","","","","","","","","","","","Association for Computing Machinery, Inc","","English","","","","","","","","","E:\Zotero\storage\W9JMA7TG\Chen y Chen - 2025 - Research on the virtual simulation system of intelligent manufacturing production line teaching base.pdf","","Teaching; Engineering education; E-learning; Virtual reality; Curricula; Condition; Industrial research; Science and Technology; Teaching practices; Continuous improvements; Digital twin; Electronic data interchange; Course teachings; digital twin; Smart manufacturing; Virtual prototyping; Intelligent Manufacturing; Virtual simulation system; Technology and educations; production line; Production line; virtual simulation system; Wheel hubs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95CLH3FL","conferencePaper","2020","Cortes, D.; Ramirez, J.; Villagomez, L.; Batres, R.; Vasquez-Lopez, V.; Molina, A.","Digital Pyramid: An approach to relate industrial automation and digital twin concepts","Proceedings - 2020 IEEE International Conference on Engineering, Technology and Innovation, ICE/ITMC 2020","","978-172817037-4 (ISBN)","10.1109/ice/itmc49519.2020.9198643","https://www.scopus.com/pages/publications/85093081657?origin=resultslist","The so-called fourth industrial revolution has brought different technologies to aid in the launching of new products, automation of manufacturing process and designing of intelligent manufacturing systems to monitor and control activities inside the factories. One recurrent challenge of the industrial sector is to evaluate multiple scenarios to make decisions at different levels of the business model. Innovative technologies and tools are used to provide solutions to existing gaps in current manufacturing systems. The evaluation of scenarios is used to manage risks, costs, prepare for upcoming work and forecast demand. Thus, the use of Digital Twin (DT) has proven its value covering the simulation and creation of virtual environments without the physical investment needed. With emergent technologies comes to a great responsibility for institutes to prepare undergraduate students in the development of novel skills, thus, technologies should be adapted and included into the teaching-learning process to aid the adoption from educational to the industrial sector. In this work, it is shown how the adoption of DT has been used to teach industrial concepts such as the automation pyramid, the programming of programmable logic controllers PLC and the exchange of information through industrial networks along with the concepts that constitute digital twins, such as digital master, digital shadow and modelling through system dynamics. Besides, the general vision of how digitalization is understood aligned to the vision of education 4.0 and applied to teach a tool to reduce the time for decision making into the industrial sector. © 2020 IEEE.","2020","2026-05-27 10:54:29","2026-05-27 10:54:29","","9198643","","","","","","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","","","","","","","E:\Zotero\storage\V4TBVFM2\Cortes et al. - 2020 - Digital Pyramid An approach to relate industrial automation and digital twin concepts.pdf","","Students; Industry 4.0; Higher Education; Automation; Engineering education; Digital Twin; Education computing; Teaching-learning process; Recurrent neural networks; Manufacture; Undergraduate students; Engineering research; Innovative technology; Industrial revolutions; Educational Innovation; Product design; Risk perception; Manufacturing process; Digital twin; Technological forecasting; Programmable logic controllers; Industrial automation; Exchange of information; Digital Pyramid; Industrial Automation; Intelligent manufacturing system; Virtual Commissioning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6EEVCR6P","conferencePaper","2025","Cruz Salazar, L.A.; Tovar, H.S.; Prada Salamanca, E.A.; Márquez Juárez, J.C.; Cruz, E.M.","Adaptive Learning and Interoperability in I4.0: A Case Study of Agent-based Digital Twin with Asset Administration Shell","IFAC-PapersOnLine","","24058971","10.1016/j.ifacol.2025.12.150","https://www.scopus.com/pages/publications/105029667754?origin=resultslist","The integration of predictive industrial agents into Industry 4.0 (I4.0) systems offers new possibilities for adaptive learning and intelligent control in industrial and educational contexts. This paper presents a framework leveraging predictive agents, developed using the Python Agent Development Environment (PADE), embedded within programmable logic controllers (PLCs) to enhance the predictability and interoperability of digital twin (DTs) environments. By incorporating Asset Administration Shells (AAS) and adhering to IEC 61131-3 and IEC 61499 standards into the various PLCs, the system enables seamless communication and integration between flexible manufacturing cells in a remotely operated I4.0 laboratory. The predictive agents utilize supervised learning algorithms to forecast operational outcomes and optimize system performance, adapting dynamically to process requirements. Experimental results demonstrate the frameworḱs ability to enhance interoperability, and usability. Additionally, the proposed system addresses the educational gap by equipping engineering students with practical experience in predictive control and industrial standards. This research advances the field of intelligent adaptive control systems and highlights the potential of integrating predictive agents with digital twins by agent-based AAS to meet the evolving demands of I4.0. © 2025 The Authors.","2025","2026-05-27 10:54:29","2026-05-27 10:54:29","","202–207","","14","59","","","","","","","","Elsevier B.V.","","English","","","","","","","","","E:\Zotero\storage\LWUNQ5FG\Cruz Salazar et al. - 2025 - Adaptive Learning and Interoperability in I4.0 A Case Study of Agent-based Digital Twin with Asset.pdf","","Machine learning; Learning systems; Industry 4.0; Engineering education; Intelligent agents; Adaptive learning; E-learning; Adaptive learning systems; Digital Twin; Learning algorithms; Industrial research; Case-studies; Digital twin; Adaptive control systems; Intelligent control; Predictive control systems; Programmable logic controllers; Programmed control systems; Flexible manufacturing systems; Autonomous agents; Industrial context; Agent based; Adaptive Learning System; Asset administration shell; Asset Administration Shell; IEC 61499; Logic controller; Predictive industrial agent; Predictive Industrial Agent; Programmable logic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XMATM5GI","conferencePaper","2021","Cuiffi, J.D.; Wang, H.; Heim, J.; Anthony, B.W.; Kim, S.; Kim, D.D.","Factory 4.0 Toolkit for Smart Manufacturing Training","ASEE Annual Conference and Exposition, Conference Proceedings","","21535965","","https://www.scopus.com/pages/publications/85124517580?origin=resultslist","The rapid pace of technology development in the field of smart manufacturing has left educational systems scrambling to keep pace and adapt learning outcomes, resulting in inadequate preparedness and readiness of workforce at all levels. Often, smart manufacturing training materials are either broad and conceptual or a specific technical deep dive with little context. We have developed an educational toolkit that leverages an inexpensive, bench scale extrusion platform to provide lab activities and feature-rich data to explore fundamental concepts of smart manufacturing in a production context for an audience of both undergraduate engineering students and current manufacturing workforce members. Through investigation of the mock production platform and associated data, concepts and applications of modern data-driven tools are explored in the topic areas of data collection and the industrial internet of things, data analytics and predictive modeling for production data, simulation and digital twinning, and process and manufacturing systems optimization. The activities culminate in the exploration of advanced feedback control algorithms and optimization of operating conditions, balancing throughput, quality, and power consumption, using digital twins. The combination of overview conceptual materials along with in-depth activities on an actual process allows us to tailor the scope of the specific training to the intended audience. Select modules of the Factory 4.0 toolkit were delivered in an undergraduate course and in a training workshop for manufacturing personnel. Pre- and post-attitude surveys, along with participant comments, were used to assess the training approach and content. We found that the proper technical scope is critical for a given audience and that all types of manufacturing personnel, from technicians and engineers to operations and management, benefit from foundational smart manufacturing concepts and examples. We also found that for technical materials, student audiences required more of the fundamental instrumentation and statistical analysis topics, while current technical practitioners desired specific deep dives into data analytics, digital twinning, and process optimization after introductory overviews. Both educational experiences exposed a need for preparedness in programming and statistical analysis software tools to take advantage of these smart manufacturing concepts. © American Society for Engineering Education, 2021","2021","2026-05-27 10:54:29","2026-05-27 10:54:29","","","","","","","","","","","","","American Society for Engineering Education","","English","","","","","","","","","E:\Zotero\storage\GENWCJR5\Cuiffi et al. - 2021 - Factory 4.0 Toolkit for Smart Manufacturing Training.pdf","","Surveys; Students; Human resource management; Engineering education; Data analytics; Optimization; Personnel training; 'current; Technology development; Educational systems; Learning outcome; Quality control; Statistical methods; Data Analytics; Predictive analytics; Deep dives; Smart manufacturing; Training material; Educational toolkits; Manufacturing concepts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8BL4J2HZ","conferencePaper","2022","Eriksson, K.; Alsaleh, A.; Behzad Far, S.; Stjern, D.","Applying Digital Twin Technology in Higher Education: An Automation Line Case Study","Advances in Transdisciplinary Engineering","","2352751X (ISSN); 978-164368268-6 (ISBN)","10.3233/atde220165","https://www.scopus.com/pages/publications/85132810727?origin=resultslist","Production systems are being expanded to include Digital Twins (DTs) as part of increased industrial digitalization. DTs can bring benefits e.g., increase visibility, safety, and accessibility of the system. Further, digital experimentation can reduce time and cost. Though, application of DT technologies involves challenges i.e., model accuracy or errors in transferring data or codes between the DT and the physical twin. Many studies on DTs focus on industrial applications. However, DT technology has potential for implementation of digital labs in education. This aspect of DTs is of rising importance as distance education has increased over the last decade and access to physical laboratories can be restricted due to factors such as the Covid-19 pandemic. Thus, there is a need to study the use of DT technology in higher education. To address this, we investigate possibilities and challenges of applying DT technology in education to conduct industrial-like labs virtually. A case of an automation line, with full scale industrial equipment, based at a research center, is focused. Results emphasize that the application of DT technologies require multi-domain expertise to understand the consequences of every single decision in the design process on every piece of equipment involved, making the modelling process complex and time consuming. Thus, when applied in education, test procedures need to be designed to focus on students' motivation, improved learning and understanding of production systems. DTs are considered enabling technologies supporting the concept of Industry 5.0, thus stressing the human-centric aspects of advancing Industry 4.0. The predicted application of DTs emphasizes the need for educational curricula that include laboratory applications and theoretic understanding of DT technologies. This study focusses the application of DT technologies in higher education curricula, but the result of the study can contribute to other areas such as automation and virtual commissioning towards smarter manufacturing. © 2022 The authors and IOS Press.","2022","2026-05-27 10:54:29","2026-05-27 10:54:29","","461–472","","","21","","","","","","","","IOS Press BV","","English","","","","","","","","","E:\Zotero\storage\7V6QI44H\Eriksson et al. - 2022 - Applying Digital Twin Technology in Higher Education An Automation Line Case Study.pdf","","Industry 4.0; Automation; Engineering education; Testing; E-learning; Virtual reality; Education computing; High educations; Curricula; Industrial research; Cyber Physical System; Case-studies; Laboratories; Reduce costs; digital twin; Production system; Cyber physicals; Virtual lab; virtual commissioning; Virtual commissioning; cyber-physical; Modeling accuracy; Reduce time; seamless transfer; Seamless transfer; virtual labs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
