attr_a,attr_b,phi,co_occurrence_n,fisher_p
Bidirectional DT,Real-time sync,0.689,10,2.444392564386833e-07
Has comparator,Affective outcomes,0.622,16,1.0101990180477353e-06
Rigorous design,Has comparator,0.601,9,5.254209471732507e-06
Technical barriers,Institutional barriers,0.474,5,0.0016391201857146698
Rigorous design,Reports effect size,0.435,4,0.005302427542252224
Lifecycle project,Industry collab.,0.426,6,0.002816719883566718
Has comparator,Reports effect size,0.414,6,0.0026166973594126293
Hybrid env,Bidirectional DT,0.403,7,0.0031598539225658677
Active learning,Experiential,-0.388,0,0.0011410423343813636
Active learning,Undergraduate,0.388,17,0.0021412745254463963
Reports effect size,Affective outcomes,0.366,6,0.006442102576053314
Rigorous design,Affective outcomes,0.355,7,0.007272886855021122
Lifecycle project,Institutional barriers,0.323,4,0.025279012688709825
Bidirectional DT,Active learning,-0.316,0,0.010776093129365083
Hybrid env,Affective outcomes,-0.314,2,0.018666297632685815
Real-time sync,Affective outcomes,-0.314,2,0.018666297632685815
Hybrid env,Real-time sync,0.309,9,0.027330849655372053
Immersive env,Sustainability quant.,0.292,2,0.07177197802197802
Immersive env,Hybrid env,-0.279,0,0.026654485974331666
Industry collab.,Institutional barriers,0.265,3,0.06725434484489419
Experiential,Undergraduate,0.249,10,0.06920770591779556
Real-time sync,Undergraduate,-0.247,5,0.056731037384440776
Real-time sync,Active learning,-0.242,3,0.08085853286537927
Experiential,Affective outcomes,0.238,8,0.0664313975315273
Bidirectional DT,Undergraduate,-0.236,2,0.08577618839241218
Hybrid env,AI-augmented,-0.232,0,0.09410716811351982
Bidirectional DT,Affective outcomes,-0.226,1,0.08378674392312041
Hybrid env,Lifecycle project,-0.223,1,0.09131276425817964
Real-time sync,Lifecycle project,-0.223,1,0.09131276425817964
Lifecycle project,Undergraduate,0.216,9,0.12138280229031742
Real-time sync,Institutional barriers,-0.215,0,0.17621000060673042
Bidirectional DT,Lifecycle project,-0.213,0,0.19118894407290926
Undergraduate,Sustainability quant.,-0.21,0,0.2399038461538462
Immersive env,Technical barriers,0.208,4,0.19395411007607882
Active learning,Has comparator,0.204,10,0.15904304033272557
Undergraduate,Affective outcomes,0.195,14,0.12928668534079213
Active learning,Affective outcomes,0.193,11,0.17513654558754616
Immersive env,Industry collab.,-0.192,0,0.19031655518117999
Real-time sync,Has comparator,-0.189,3,0.14800036662430124
AI-augmented,Lifecycle project,-0.187,0,0.34081388528906853
Active learning,Technical barriers,-0.186,2,0.1876053220025104
Bidirectional DT,Industry collab.,-0.182,0,0.33874088648827005
Experiential,Open-source,-0.182,0,0.3307911270730244
Experiential,Institutional barriers,0.18,3,0.16449312383666911
AI-augmented,Reports effect size,0.172,2,0.20324709372675206
AI-augmented,Open-source,0.172,2,0.20324709372675206
Hybrid env,Active learning,-0.17,4,0.24798276535271166
Open-source,Technical barriers,-0.165,0,0.3322389059685037
Active learning,Sustainability quant.,-0.163,0,0.5466346153846154
Affective outcomes,Sustainability quant.,-0.163,0,0.5466346153846154
