key_documento,paper,tema,tema_nombre,objetivo,variable,valor_extraido,cita_textual,ubicacion,origen
EA8ZWUTY,Baranov et al. - 2022 - Digital Twin Application in Teaching Students Majoring in Metallurgical Engineering,T1,"Infraestructura Práctica Virtual, Remota, Híbrida e Inmersiva basada en Gemelos Digitales",O1,tipo_entorno_dt,inmersivo (RV/RA/MR),взаимодействие с которой осуществляется в виртуальной реальности по различным сценариям,Sección: Описание цифрового двойника УПНЛ,
EA8ZWUTY,Baranov et al. - 2022 - Digital Twin Application in Teaching Students Majoring in Metallurgical Engineering,T1,"Infraestructura Práctica Virtual, Remota, Híbrida e Inmersiva basada en Gemelos Digitales",O1,tecnologia_inmersiva_especifica,"Oculus Rift S, Oculus Touch, Unity",с использованием очков виртуальной реальности Oculus Rift S,Sección: Описание цифрового двойника УПНЛ,
EA8ZWUTY,Baranov et al. - 2022 - Digital Twin Application in Teaching Students Majoring in Metallurgical Engineering,T1,"Infraestructura Práctica Virtual, Remota, Híbrida e Inmersiva basada en Gemelos Digitales",O1,modalidad_acceso,NR,NR,NR,
EA8ZWUTY,Baranov et al. - 2022 - Digital Twin Application in Teaching Students Majoring in Metallurgical Engineering,T1,"Infraestructura Práctica Virtual, Remota, Híbrida e Inmersiva basada en Gemelos Digitales",O1,sistema_real_representado,planta de manufactura (complejo de fundición de aluminio),Цифровой двойник установки полунепрерывного литья алюминиевых сплавов,Sección: Аннотация,
EA8ZWUTY,Baranov et al. - 2022 - Digital Twin Application in Teaching Students Majoring in Metallurgical Engineering,T1,"Infraestructura Práctica Virtual, Remota, Híbrida e Inmersiva basada en Gemelos Digitales",O1,fidelidad_visual_y_funcional_reportada,alta,высокой степенью детализации элементов комплекса и сборки с целью обеспечения максимальной достоверности сцен виртуальной реальности,Sección: Описание цифрового двойника УПНЛ,
EA8ZWUTY,Baranov et al. - 2022 - Digital Twin Application in Teaching Students Majoring in Metallurgical Engineering,T4,Formación de Competencias para Industria 4.0/5.0 y Diversificación Disciplinar,O2,dominio_ingenieria,metalurgia,подготовки студентов металлургического профиля,"Título, Abstract, Introducción",
EA8ZWUTY,Baranov et al. - 2022 - Digital Twin Application in Teaching Students Majoring in Metallurgical Engineering,T4,Formación de Competencias para Industria 4.0/5.0 y Diversificación Disciplinar,O2,competencias_i40_i50_desarrolladas,NR,NR,NR,
EA8ZWUTY,Baranov et al. - 2022 - Digital Twin Application in Teaching Students Majoring in Metallurgical Engineering,T4,Formación de Competencias para Industria 4.0/5.0 y Diversificación Disciplinar,O2,alineacion_estandares_industriales,NR,NR,NR,
EA8ZWUTY,Baranov et al. - 2022 - Digital Twin Application in Teaching Students Majoring in Metallurgical Engineering,T4,Formación de Competencias para Industria 4.0/5.0 y Diversificación Disciplinar,O2,colaboracion_industria_academia,NR,NR,NR,
EA8ZWUTY,Baranov et al. - 2022 - Digital Twin Application in Teaching Students Majoring in Metallurgical Engineering,T7,"Valor Institucional: Sostenibilidad, Accesibilidad, Equidad e Inclusión",O4,costo_implementacion,"alto (grandes costos de creación y funcionamiento, financiado por grandes empresas metalúrgicas)","большие затраты на создание и функционирование, что возможно только за счёт финансирования крупными металлургическими предприятиями","Заключение, раздел 'Ограничения'",
EA8ZWUTY,Baranov et al. - 2022 - Digital Twin Application in Teaching Students Majoring in Metallurgical Engineering,T7,"Valor Institucional: Sostenibilidad, Accesibilidad, Equidad e Inclusión",O4,modelo_licenciamiento,NR,NR,NR,
EA8ZWUTY,Baranov et al. - 2022 - Digital Twin Application in Teaching Students Majoring in Metallurgical Engineering,T7,"Valor Institucional: Sostenibilidad, Accesibilidad, Equidad e Inclusión",O4,indicadores_sostenibilidad_ambiental,NR,NR,NR,
EA8ZWUTY,Baranov et al. - 2022 - Digital Twin Application in Teaching Students Majoring in Metallurgical Engineering,T7,"Valor Institucional: Sostenibilidad, Accesibilidad, Equidad e Inclusión",O4,accesibilidad_y_equidad,acceso remoto geográfico (implícito por uso de VR y digital twin para superar limitaciones físicas),"использование цифрового двойника ... позволяет преодолеть ограничения физической модели (высокая стоимость, безопасность)",Введение / Introduction,
EA8ZWUTY,Baranov et al. - 2022 - Digital Twin Application in Teaching Students Majoring in Metallurgical Engineering,T7,"Valor Institucional: Sostenibilidad, Accesibilidad, Equidad e Inclusión",O4,contexto_geografico_aplicacion,"Rusia, región de Krasnoyarsk (Siberia); relevante para Sur Global por ser país en desarrollo","Сибирский федеральный университет, Красноярск, Россия",Título / Title page,
EA8ZWUTY,Baranov et al. - 2022 - Digital Twin Application in Teaching Students Majoring in Metallurgical Engineering,T7,"Valor Institucional: Sostenibilidad, Accesibilidad, Equidad e Inclusión",O4,continuidad_educativa_post_covid,"mencionada (la pandemia obstaculiza la implementación, pero se usa para educación remota)","Более широкой и интенсивной апробации на студентах других уровней обучения, а также внедрению ЦД в учебный процесс пока препятствует эпидемиологическая обстановка в университете, при которой образовательный процесс часто переводят в онлайн-формат",Тестирование ЦД,
CCRR3WV2,Barletta et al. - 2025 - Cyber Digital Twin to improve Security Education the RedTeam Knife approach,T1,"Infraestructura Práctica Virtual, Remota, Híbrida e Inmersiva basada en Gemelos Digitales",O1,tipo_entorno_dt,NR,NR,NR,
CCRR3WV2,Barletta et al. - 2025 - Cyber Digital Twin to improve Security Education the RedTeam Knife approach,T1,"Infraestructura Práctica Virtual, Remota, Híbrida e Inmersiva basada en Gemelos Digitales",O1,tecnologia_inmersiva_especifica,NR,NR,NR,
CCRR3WV2,Barletta et al. - 2025 - Cyber Digital Twin to improve Security Education the RedTeam Knife approach,T1,"Infraestructura Práctica Virtual, Remota, Híbrida e Inmersiva basada en Gemelos Digitales",O1,modalidad_acceso,NR,NR,NR,
CCRR3WV2,Barletta et al. - 2025 - Cyber Digital Twin to improve Security Education the RedTeam Knife approach,T1,"Infraestructura Práctica Virtual, Remota, Híbrida e Inmersiva basada en Gemelos Digitales",O1,sistema_real_representado,NR,NR,NR,
CCRR3WV2,Barletta et al. - 2025 - Cyber Digital Twin to improve Security Education the RedTeam Knife approach,T1,"Infraestructura Práctica Virtual, Remota, Híbrida e Inmersiva basada en Gemelos Digitales",O1,fidelidad_visual_y_funcional_reportada,NR,NR,NR,
CCRR3WV2,Barletta et al. - 2025 - Cyber Digital Twin to improve Security Education the RedTeam Knife approach,T3,"Convergencia de Inteligencia Artificial, Analítica de Datos y Gemelos Digitales",O1,tipo_ia_integrada,NR,NR,NR,
CCRR3WV2,Barletta et al. - 2025 - Cyber Digital Twin to improve Security Education the RedTeam Knife approach,T3,"Convergencia de Inteligencia Artificial, Analítica de Datos y Gemelos Digitales",O1,funcion_de_la_ia,NR,NR,NR,
CCRR3WV2,Barletta et al. - 2025 - Cyber Digital Twin to improve Security Education the RedTeam Knife approach,T3,"Convergencia de Inteligencia Artificial, Analítica de Datos y Gemelos Digitales",O1,datos_entrenamiento_o_inferencia,NR,NR,NR,
CCRR3WV2,Barletta et al. - 2025 - Cyber Digital Twin to improve Security Education the RedTeam Knife approach,T3,"Convergencia de Inteligencia Artificial, Analítica de Datos y Gemelos Digitales",O1,metricas_desempeno_ia,NR,NR,NR,
CCRR3WV2,Barletta et al. - 2025 - Cyber Digital Twin to improve Security Education the RedTeam Knife approach,T4,Formación de Competencias para Industria 4.0/5.0 y Diversificación Disciplinar,O2,dominio_ingenieria,ciberseguridad,"Digital Twins (DTs) are emerging as powerful tools in cybersecurity, enabling real-time monitoring, analysis, and simulation of cyber-physical environments.",Abstract,
CCRR3WV2,Barletta et al. - 2025 - Cyber Digital Twin to improve Security Education the RedTeam Knife approach,T4,Formación de Competencias para Industria 4.0/5.0 y Diversificación Disciplinar,O2,competencias_i40_i50_desarrolladas,ciberseguridad industrial,"The study introduces the Red Team Knife (RTK), a penetration testing toolset designed to support cybersecurity training and security operations.",Abstract,
CCRR3WV2,Barletta et al. - 2025 - Cyber Digital Twin to improve Security Education the RedTeam Knife approach,T4,Formación de Competencias para Industria 4.0/5.0 y Diversificación Disciplinar,O2,alineacion_estandares_industriales,NR,NR,NR,
CCRR3WV2,Barletta et al. - 2025 - Cyber Digital Twin to improve Security Education the RedTeam Knife approach,T4,Formación de Competencias para Industria 4.0/5.0 y Diversificación Disciplinar,O2,colaboracion_industria_academia,NR,NR,NR,
6XH9DD3P,Boltsi et al. - 2025 - Towards a Novel Digital Twin Framework Proposal Within the Engineering Design Process for Future Eng,T2,Arquitecturas y Tecnologías Habilitadoras del Gemelo Digital Educativo,O1,tipo_gemelo_digital_taxonomia_kritzinger,digital shadow,the physical meteorological station collects real-time weather data through sensors... and these data are then passed to the DT model,"Sección 3.4.1, página 19",
6XH9DD3P,Boltsi et al. - 2025 - Towards a Novel Digital Twin Framework Proposal Within the Engineering Design Process for Future Eng,T2,Arquitecturas y Tecnologías Habilitadoras del Gemelo Digital Educativo,O1,componente_fisico,"Equipos, sensores, actuadores, microcontroladores (Arduino/ESP32)","Sensors such as the DHT22 sensor for temperature and humidity, BH1750 for light intensity, and wind speed sensors are employed. Actuators, including servo motors and relays, are used for shading systems and HVAC control.","Sección 3.4, página 16",
6XH9DD3P,Boltsi et al. - 2025 - Towards a Novel Digital Twin Framework Proposal Within the Engineering Design Process for Future Eng,T2,Arquitecturas y Tecnologías Habilitadoras del Gemelo Digital Educativo,O1,componente_virtual,"Motor 3D (Unity/Unreal), plataforma de simulación (MATLAB), dashboard","The DT model, developed using MATLAB and Unity3D, simulates system behavior under varying conditions.","Sección 3.2, página 11",
6XH9DD3P,Boltsi et al. - 2025 - Towards a Novel Digital Twin Framework Proposal Within the Engineering Design Process for Future Eng,T2,Arquitecturas y Tecnologías Habilitadoras del Gemelo Digital Educativo,O1,protocolos_estandares_comunicacion,"5G, IoT-based communication protocol",utilizing a 5G-enabled network or an IoT-based communication protocol,"Sección 3.4.3, página 20",
6XH9DD3P,Boltsi et al. - 2025 - Towards a Novel Digital Twin Framework Proposal Within the Engineering Design Process for Future Eng,T2,Arquitecturas y Tecnologías Habilitadoras del Gemelo Digital Educativo,O1,grado_sincronizacion_bidireccionalidad,near-real-time,control loop time of ~150–200 ms from sensing to actuation,"Sección 3.4.2, página 20",
6XH9DD3P,Boltsi et al. - 2025 - Towards a Novel Digital Twin Framework Proposal Within the Engineering Design Process for Future Eng,T2,Arquitecturas y Tecnologías Habilitadoras del Gemelo Digital Educativo,O1,arquitectura_capas_modulos,"Capas: física (sensores IoT, Arduino), integración (edge computing, 5G), digital (cloud-based DT platform), aplicación (user dashboard)",The framework consists of several key components... IoT sensors... edge computing node... cloud-based Digital Twin platform... user dashboard,"Sección 3.4.3, página 20",
6XH9DD3P,Boltsi et al. - 2025 - Towards a Novel Digital Twin Framework Proposal Within the Engineering Design Process for Future Eng,T4,Formación de Competencias para Industria 4.0/5.0 y Diversificación Disciplinar,O2,dominio_ingenieria,control,"This integration enables the continuous monitoring, analysis, and control of the system","Sección 3.4.1, pág. 19",
6XH9DD3P,Boltsi et al. - 2025 - Towards a Novel Digital Twin Framework Proposal Within the Engineering Design Process for Future Eng,T4,Formación de Competencias para Industria 4.0/5.0 y Diversificación Disciplinar,O2,competencias_i40_i50_desarrolladas,"IIoT, automatización, analítica de datos, pensamiento sistémico, integración de sistemas, sostenibilidad, colaboración humano-máquina (I5.0)",This interactivity enhances system-level understanding and supports the development of problem-solving and designthinking skills—key competencies in the era of Industry 4.0 and Industry 5.0.,"Sección 1 (Introduction), página 2",
6XH9DD3P,Boltsi et al. - 2025 - Towards a Novel Digital Twin Framework Proposal Within the Engineering Design Process for Future Eng,T4,Formación de Competencias para Industria 4.0/5.0 y Diversificación Disciplinar,O2,alineacion_estandares_industriales,NR,NR,NR,
6XH9DD3P,Boltsi et al. - 2025 - Towards a Novel Digital Twin Framework Proposal Within the Engineering Design Process for Future Eng,T4,Formación de Competencias para Industria 4.0/5.0 y Diversificación Disciplinar,O2,colaboracion_industria_academia,NR,NR,NR,
6XH9DD3P,Boltsi et al. - 2025 - Towards a Novel Digital Twin Framework Proposal Within the Engineering Design Process for Future Eng,T5,"Diseño Pedagógico y Curricular Centrado en Aprendizaje Activo, Experiencial y Basado en Proyectos",O2,modelo_pedagogico,aprendizaje experiencial,"a hybrid pedagogical approach is introduced, which combines traditional engineering hands-on education methodologies with DT activities, to further foster experimental learning, iterative system design, and complex systems thinking development","Abstract, p. 1",
6XH9DD3P,Boltsi et al. - 2025 - Towards a Novel Digital Twin Framework Proposal Within the Engineering Design Process for Future Eng,T5,"Diseño Pedagógico y Curricular Centrado en Aprendizaje Activo, Experiencial y Basado en Proyectos",O2,nivel_educativo,Pregrado,Universities play a pivotal role in equipping young individuals with the essential skills required for the effective utilization of technology,"Section 1 (Introduction), p. 1",
6XH9DD3P,Boltsi et al. - 2025 - Towards a Novel Digital Twin Framework Proposal Within the Engineering Design Process for Future Eng,T5,"Diseño Pedagógico y Curricular Centrado en Aprendizaje Activo, Experiencial y Basado en Proyectos",O2,programa_curso_asignatura,Weather Monitoring Use Case for DT Framework Testing,Weather Monitoring Use Case for DT Framework Testing,"Sección 3.2, página 11",
6XH9DD3P,Boltsi et al. - 2025 - Towards a Novel Digital Twin Framework Proposal Within the Engineering Design Process for Future Eng,T5,"Diseño Pedagógico y Curricular Centrado en Aprendizaje Activo, Experiencial y Basado en Proyectos",O2,modalidad_ensenanza,NR,NR,NR,
6XH9DD3P,Boltsi et al. - 2025 - Towards a Novel Digital Twin Framework Proposal Within the Engineering Design Process for Future Eng,T5,"Diseño Pedagógico y Curricular Centrado en Aprendizaje Activo, Experiencial y Basado en Proyectos",O2,grado_participacion_estudiantil,proyecto completo de ciclo de vida,placing students in the control of full-cycle system design,"Sección: 5. Discussion and Conclusions, párrafo 1",
6XH9DD3P,Boltsi et al. - 2025 - Towards a Novel Digital Twin Framework Proposal Within the Engineering Design Process for Future Eng,T5,"Diseño Pedagógico y Curricular Centrado en Aprendizaje Activo, Experiencial y Basado en Proyectos",O2,andamiaje_y_rol_docente,NR,NR,NR,
6XH9DD3P,Boltsi et al. - 2025 - Towards a Novel Digital Twin Framework Proposal Within the Engineering Design Process for Future Eng,T5,"Diseño Pedagógico y Curricular Centrado en Aprendizaje Activo, Experiencial y Basado en Proyectos",O2,duracion_intervencion,NR,NR,NR,
3PCKDEQL,Bonavolonta et al. - 2026 - Sustainability comparison between a traditional electronics measurement laboratory and an immersive,T1,"Infraestructura Práctica Virtual, Remota, Híbrida e Inmersiva basada en Gemelos Digitales",O1,tipo_entorno_dt,inmersivo (RV/RA/MR),immersive digital twin-based laboratory (IM-MetaLAB) supported by one high-performance workstation and 20 virtual reality headsets,"Abstract, página 1",
3PCKDEQL,Bonavolonta et al. - 2026 - Sustainability comparison between a traditional electronics measurement laboratory and an immersive,T1,"Infraestructura Práctica Virtual, Remota, Híbrida e Inmersiva basada en Gemelos Digitales",O1,tecnologia_inmersiva_especifica,virtual reality headsets,20 virtual reality headsets,"Abstract, página 1",
3PCKDEQL,Bonavolonta et al. - 2026 - Sustainability comparison between a traditional electronics measurement laboratory and an immersive,T1,"Infraestructura Práctica Virtual, Remota, Híbrida e Inmersiva basada en Gemelos Digitales",O1,modalidad_acceso,Acceso 24/7,immersive access enables remote 24/7 participation,"Abstract, página 1",
3PCKDEQL,Bonavolonta et al. - 2026 - Sustainability comparison between a traditional electronics measurement laboratory and an immersive,T1,"Infraestructura Práctica Virtual, Remota, Híbrida e Inmersiva basada en Gemelos Digitales",O1,sistema_real_representado,laboratorio de instrumentación y medición,teaching fundamental concepts in instrumentation and measurement,"Section 3.2, Scenario B – Immersive Laboratory (IM-MetaLAB), note",
3PCKDEQL,Bonavolonta et al. - 2026 - Sustainability comparison between a traditional electronics measurement laboratory and an immersive,T1,"Infraestructura Práctica Virtual, Remota, Híbrida e Inmersiva basada en Gemelos Digitales",O1,fidelidad_visual_y_funcional_reportada,NR,NR,NR,
3PCKDEQL,Bonavolonta et al. - 2026 - Sustainability comparison between a traditional electronics measurement laboratory and an immersive,T6,"Evidencia Empírica de Resultados de Aprendizaje, Aceptación y Engagement Estudiantil",O3,diseno_investigacion,NR,NR,NR,
3PCKDEQL,Bonavolonta et al. - 2026 - Sustainability comparison between a traditional electronics measurement laboratory and an immersive,T6,"Evidencia Empírica de Resultados de Aprendizaje, Aceptación y Engagement Estudiantil",O3,tamano_muestral_y_perfil,NR,NR,NR,
3PCKDEQL,Bonavolonta et al. - 2026 - Sustainability comparison between a traditional electronics measurement laboratory and an immersive,T6,"Evidencia Empírica de Resultados de Aprendizaje, Aceptación y Engagement Estudiantil",O3,comparador_o_condicion_control,NR,NR,NR,
3PCKDEQL,Bonavolonta et al. - 2026 - Sustainability comparison between a traditional electronics measurement laboratory and an immersive,T6,"Evidencia Empírica de Resultados de Aprendizaje, Aceptación y Engagement Estudiantil",O3,instrumentos_evaluacion,NR,NR,NR,
3PCKDEQL,Bonavolonta et al. - 2026 - Sustainability comparison between a traditional electronics measurement laboratory and an immersive,T6,"Evidencia Empírica de Resultados de Aprendizaje, Aceptación y Engagement Estudiantil",O3,resultados_cognitivos,NR,NR,NR,
3PCKDEQL,Bonavolonta et al. - 2026 - Sustainability comparison between a traditional electronics measurement laboratory and an immersive,T6,"Evidencia Empírica de Resultados de Aprendizaje, Aceptación y Engagement Estudiantil",O3,resultados_procedimentales,NR,NR,NR,
3PCKDEQL,Bonavolonta et al. - 2026 - Sustainability comparison between a traditional electronics measurement laboratory and an immersive,T6,"Evidencia Empírica de Resultados de Aprendizaje, Aceptación y Engagement Estudiantil",O3,resultados_afectivos_y_engagement,NR,NR,NR,
3PCKDEQL,Bonavolonta et al. - 2026 - Sustainability comparison between a traditional electronics measurement laboratory and an immersive,T6,"Evidencia Empírica de Resultados de Aprendizaje, Aceptación y Engagement Estudiantil",O3,significancia_estadistica_y_tamano_efecto,NR,NR,NR,
3PCKDEQL,Bonavolonta et al. - 2026 - Sustainability comparison between a traditional electronics measurement laboratory and an immersive,T6,"Evidencia Empírica de Resultados de Aprendizaje, Aceptación y Engagement Estudiantil",O3,amenazas_validez_y_calidad_evidencia,NR,NR,NR,
3PCKDEQL,Bonavolonta et al. - 2026 - Sustainability comparison between a traditional electronics measurement laboratory and an immersive,T7,"Valor Institucional: Sostenibilidad, Accesibilidad, Equidad e Inclusión",O4,costo_implementacion,"CAPEX: ~100,000 €; OPEX: ~17,000 €/año; costo por estudiante cuatro veces menor en el laboratorio inmersivo","capital expenditures drop from approximately 100,000 € to 25,000 €, while annual operating costs fall from 17,000 € to 5,000 €, yielding a per-student exercise cost four times lower","Abstract, p. 1",
3PCKDEQL,Bonavolonta et al. - 2026 - Sustainability comparison between a traditional electronics measurement laboratory and an immersive,T7,"Valor Institucional: Sostenibilidad, Accesibilidad, Equidad e Inclusión",O4,modelo_licenciamiento,NR,NR,NR,
